scene,gidA,gidB,n_adj,n_diff,n_cont,min_step,median_step,same,objA,objB
n3_scene0003,2,5,6,4,2,7.0,109.3,0,mini_soccer_ball,fork
n3_scene0003,5,6,3,1,2,5.6,13.8,0,fork,mini_soccer_ball
n3_scene0004,10,11,2,1,1,14.0,254.9,1,rubiks_cube,rubiks_cube
n3_scene0004,7,11,1,1,0,121.5,121.5,1,rubiks_cube,rubiks_cube
n3_scene0004,9,18,1,0,1,13.2,13.2,1,rubiks_cube,rubiks_cube
n3_scene0004,9,11,1,0,1,18.5,18.5,1,rubiks_cube,rubiks_cube
n3_scene0004,9,12,1,0,1,4.0,4.0,1,rubiks_cube,rubiks_cube
n3_scene0004,11,18,1,0,1,0.2,0.2,1,rubiks_cube,rubiks_cube
n3_scene0004,11,12,3,2,1,17.6,461.1,1,rubiks_cube,rubiks_cube
n3_scene0004,8,11,1,1,0,320.5,320.5,1,rubiks_cube,rubiks_cube
n3_scene0004,12,16,2,0,2,2.1,11.4,1,rubiks_cube,rubiks_cube
n3_scene0004,10,16,1,0,1,1.1,1.1,1,rubiks_cube,rubiks_cube
n3_scene0004,11,16,5,4,1,11.9,64.6,1,rubiks_cube,rubiks_cube
n3_scene0004,9,10,3,0,3,0.2,1.9,1,rubiks_cube,rubiks_cube
n3_scene0004,6,9,1,1,0,42.0,42.0,1,rubiks_cube,rubiks_cube
n3_scene0004,6,10,1,0,1,18.8,18.8,1,rubiks_cube,rubiks_cube
n3_scene0004,8,16,1,0,1,5.8,5.8,1,rubiks_cube,rubiks_cube
n3_scene0004,10,13,1,0,1,5.6,5.6,1,rubiks_cube,rubiks_cube
n3_scene0005,3,9,4,2,2,17.6,53.5,0,foam_brick,plum
n3_scene0005,9,10,4,4,0,77.4,86.4,0,plum,foam_brick
n3_scene0005,6,9,1,1,0,95.4,95.4,0,foam_brick,plum
n3_scene0005,8,10,1,0,1,6.2,6.2,1,foam_brick,foam_brick
n3_scene0006,2,9,6,5,1,6.8,93.0,0,wood_block,cups
n3_scene0006,4,8,1,1,0,255.3,255.3,0,phillips_screwdriver,wood_block
n3_scene0006,8,9,1,1,0,183.3,183.3,0,wood_block,cups
n3_scene0006,4,7,1,1,0,230.4,230.4,0,phillips_screwdriver,wood_block
n3_scene0006,7,9,2,2,0,224.7,228.3,0,wood_block,cups
n3_scene0006,1,7,4,2,2,19.7,56.0,1,wood_block,wood_block
n3_scene0006,1,9,2,2,0,180.1,218.5,0,wood_block,cups
n3_scene0006,2,4,1,1,0,51.1,51.1,0,wood_block,phillips_screwdriver
n3_scene0006,1,8,3,2,1,9.1,81.7,1,wood_block,wood_block
n3_scene0006,7,8,2,0,2,0.5,1.0,1,wood_block,wood_block
n3_scene0006,4,9,2,2,0,45.2,56.3,0,phillips_screwdriver,cups
n3_scene0006,3,4,1,1,0,48.7,48.7,1,phillips_screwdriver,phillips_screwdriver
n3_scene0006,1,3,1,1,0,89.7,89.7,0,wood_block,phillips_screwdriver
n3_scene0006,2,3,1,1,0,617.6,617.6,0,wood_block,phillips_screwdriver
n3_scene0006,9,11,1,1,0,54.7,54.7,1,cups,cups
n3_scene0006,3,8,1,0,1,32.1,32.1,0,phillips_screwdriver,wood_block
n3_scene0006,2,5,1,1,0,171.9,171.9,1,wood_block,wood_block
n3_scene0006,5,10,1,1,0,184.8,184.8,0,wood_block,phillips_screwdriver
n3_scene0006,2,7,1,0,1,1.7,1.7,1,wood_block,wood_block
n3_scene0006,7,11,1,0,1,2.6,2.6,0,wood_block,cups
n3_scene0006,1,2,1,0,1,8.6,8.6,1,wood_block,wood_block
n3_scene0006,1,11,1,0,1,13.5,13.5,0,wood_block,cups
n3_scene0006,10,11,1,1,0,184.4,184.4,0,phillips_screwdriver,cups
n3_scene0007,10,12,3,0,3,0.5,2.7,0,medium_clamp,apple
n3_scene0007,12,13,1,0,1,6.6,6.6,0,apple,medium_clamp
n3_scene0007,6,12,1,0,1,0.6,0.6,1,apple,apple
n3_scene0007,2,10,1,0,1,29.4,29.4,0,apple,medium_clamp
n3_scene0007,5,10,1,0,1,8.6,8.6,0,apple,medium_clamp
n3_scene0008,15,18,1,1,0,183.4,183.4,0,tomato_soup_can,pudding_box
n3_scene0008,11,15,1,1,0,897.7,897.7,1,tomato_soup_can,tomato_soup_can
n3_scene0008,9,12,1,0,1,0.1,0.1,1,pudding_box,pudding_box
n3_scene0008,9,15,1,0,1,16.3,16.3,0,pudding_box,tomato_soup_can
n3_scene0008,12,15,1,1,0,197.7,197.7,0,pudding_box,tomato_soup_can
n3_scene0009,5,13,3,3,0,164.8,737.4,1,lemon,lemon
n3_scene0009,12,13,2,0,2,1.3,9.8,1,lemon,lemon
n3_scene0009,5,12,1,1,0,511.0,511.0,1,lemon,lemon
n3_scene0009,4,12,1,0,1,19.8,19.8,0,cups,lemon
n3_scene0010,6,14,1,0,1,5.8,5.8,1,master_chef_can,master_chef_can
n3_scene0011,9,15,12,3,9,7.4,26.5,1,power_drill,power_drill
n3_scene0011,9,16,10,1,9,0.4,9.4,0,power_drill,knife
n3_scene0011,9,11,6,5,1,3.6,72.3,1,power_drill,power_drill
n3_scene0011,11,15,1,1,0,76.2,76.2,1,power_drill,power_drill
n3_scene0011,12,15,4,3,1,16.3,95.6,1,power_drill,power_drill
n3_scene0011,2,7,4,0,4,1.5,5.9,1,sugar_box,sugar_box
n3_scene0011,6,9,10,6,4,4.5,71.0,1,power_drill,power_drill
n3_scene0011,9,12,10,9,1,14.9,71.1,1,power_drill,power_drill
n3_scene0011,6,12,8,6,2,0.3,122.3,1,power_drill,power_drill
n3_scene0011,8,12,3,2,1,38.9,91.3,0,sugar_box,power_drill
n3_scene0011,6,15,1,0,1,15.5,15.5,1,power_drill,power_drill
n3_scene0011,15,16,4,4,0,87.1,217.3,0,power_drill,knife
n3_scene0011,6,16,4,3,1,25.4,167.6,0,power_drill,knife
n3_scene0011,2,8,1,0,1,19.7,19.7,1,sugar_box,sugar_box
n3_scene0011,2,12,1,1,0,128.0,128.0,0,sugar_box,power_drill
n3_scene0011,5,6,1,1,0,232.4,232.4,1,power_drill,power_drill
n3_scene0011,5,9,1,0,1,26.9,26.9,1,power_drill,power_drill
n3_scene0011,3,9,1,0,1,6.6,6.6,1,power_drill,power_drill
n3_scene0012,7,9,4,0,4,6.8,12.8,1,scissors,scissors
n3_scene0012,7,8,3,0,3,0.2,1.8,1,scissors,scissors
n3_scene0012,5,8,2,1,1,18.5,50.5,0,cups,scissors
n3_scene0012,3,7,1,0,1,2.8,2.8,1,scissors,scissors
n3_scene0012,3,8,2,1,1,22.7,156.7,1,scissors,scissors
n3_scene0013,4,5,1,1,0,77.7,77.7,0,strawberry,spoon
n3_scene0013,6,7,3,0,3,9.6,11.8,1,tuna_fish_can,tuna_fish_can
n3_scene0015,8,13,3,0,3,4.0,7.2,1,potted_meat_can,potted_meat_can
n3_scene0015,5,8,2,2,0,159.3,167.2,0,cups,potted_meat_can
n3_scene0015,5,11,4,2,2,28.5,217.9,1,cups,cups
n3_scene0015,9,11,5,5,0,53.5,242.1,1,cups,cups
n3_scene0015,10,11,5,3,2,23.7,100.2,0,orange,cups
n3_scene0015,12,13,1,0,1,4.5,4.5,1,potted_meat_can,potted_meat_can
n3_scene0016,1,9,1,1,0,136.2,136.2,0,bleach_cleanser,pear
n3_scene0016,1,13,1,0,1,2.3,2.3,1,bleach_cleanser,bleach_cleanser
n3_scene0016,5,9,2,2,0,136.4,228.3,0,bleach_cleanser,pear
n3_scene0016,5,13,1,0,1,2.6,2.6,1,bleach_cleanser,bleach_cleanser
n3_scene0016,9,11,2,2,0,134.8,218.4,0,pear,bleach_cleanser
n3_scene0016,11,13,2,0,2,4.2,17.7,1,bleach_cleanser,bleach_cleanser
n3_scene0016,7,9,1,1,0,135.6,135.6,0,bleach_cleanser,pear
n3_scene0016,11,14,1,1,0,151.2,151.2,0,bleach_cleanser,mug
n3_scene0016,14,15,6,0,6,0.5,20.4,1,mug,mug
n3_scene0016,9,15,1,0,1,17.9,17.9,0,pear,mug
n3_scene0016,5,12,1,1,0,88.4,88.4,1,bleach_cleanser,bleach_cleanser
n3_scene0016,3,11,1,0,1,31.4,31.4,1,bleach_cleanser,bleach_cleanser
n3_scene0016,11,12,1,0,1,23.7,23.7,1,bleach_cleanser,bleach_cleanser
n3_scene0016,8,11,1,0,1,19.0,19.0,1,bleach_cleanser,bleach_cleanser
n3_scene0016,4,12,3,2,1,10.6,142.8,0,mug,bleach_cleanser
n3_scene0016,4,13,3,3,0,97.9,141.7,0,mug,bleach_cleanser
n3_scene0016,12,14,3,0,3,9.0,11.7,0,bleach_cleanser,mug
n3_scene0016,3,13,1,1,0,127.4,127.4,1,bleach_cleanser,bleach_cleanser
n3_scene0016,3,9,1,1,0,299.0,299.0,0,bleach_cleanser,pear
n3_scene0016,12,13,5,5,0,50.2,113.5,1,bleach_cleanser,bleach_cleanser
n3_scene0016,12,15,2,0,2,3.4,13.6,0,bleach_cleanser,mug
n3_scene0016,9,13,1,1,0,299.9,299.9,0,pear,bleach_cleanser
n3_scene0016,10,12,1,1,0,57.4,57.4,1,bleach_cleanser,bleach_cleanser
n3_scene0016,10,13,1,0,1,27.8,27.8,1,bleach_cleanser,bleach_cleanser
n3_scene0016,6,12,1,1,0,336.7,336.7,0,mug,bleach_cleanser
n3_scene0016,6,13,1,1,0,141.8,141.8,0,mug,bleach_cleanser
n3_scene0016,13,14,1,0,1,4.8,4.8,0,bleach_cleanser,mug
n3_scene0016,7,12,2,0,2,4.0,4.4,1,bleach_cleanser,bleach_cleanser
n3_scene0016,4,14,1,0,1,15.9,15.9,1,mug,mug
n3_scene0017,10,16,3,3,0,232.3,249.3,0,pitcher_base,extra_large_clamp
n3_scene0017,14,16,4,0,4,3.3,12.2,1,extra_large_clamp,extra_large_clamp
n3_scene0017,10,14,2,0,2,15.8,27.2,0,pitcher_base,extra_large_clamp
n3_scene0017,11,16,2,0,2,7.0,7.4,1,extra_large_clamp,extra_large_clamp
n3_scene0018,7,10,3,2,1,37.3,179.6,1,cups,cups
n3_scene0018,4,13,5,0,5,3.7,15.1,1,nine_hole_peg_test,nine_hole_peg_test
n3_scene0018,4,5,6,0,6,0.4,5.9,1,nine_hole_peg_test,nine_hole_peg_test
n3_scene0018,5,7,1,1,0,411.0,411.0,0,nine_hole_peg_test,cups
n3_scene0018,5,13,2,0,2,3.7,4.0,1,nine_hole_peg_test,nine_hole_peg_test
n3_scene0018,2,4,1,0,1,13.0,13.0,1,nine_hole_peg_test,nine_hole_peg_test
n3_scene0018,6,13,1,0,1,5.0,5.0,1,nine_hole_peg_test,nine_hole_peg_test
n3_scene0018,9,10,2,0,2,18.0,24.0,0,cups,cups
n3_scene0018,4,7,1,0,1,1.8,1.8,0,nine_hole_peg_test,cups
n3_scene0018,4,6,1,0,1,26.2,26.2,1,nine_hole_peg_test,nine_hole_peg_test
n3_scene0019,5,11,6,5,1,19.9,124.9,0,large_clamp,padlock
n3_scene0019,5,8,2,1,1,10.7,31.4,1,large_clamp,large_clamp
n3_scene0019,9,11,3,0,3,0.5,3.9,1,padlock,padlock
n3_scene0019,8,10,3,0,3,0.9,4.0,1,large_clamp,large_clamp
n3_scene0019,8,11,6,3,3,1.6,44.3,0,large_clamp,padlock
n3_scene0019,4,10,1,0,1,1.2,1.2,1,large_clamp,large_clamp
n3_scene0019,4,11,2,2,0,133.5,144.6,0,large_clamp,padlock
n3_scene0019,10,11,4,2,2,10.7,36.3,0,large_clamp,padlock
n3_scene0020,3,4,5,4,1,18.5,164.8,0,cups,plate
n3_scene0020,4,9,3,0,3,9.8,14.4,1,plate,plate
n3_scene0020,4,8,3,0,3,0.3,4.6,1,plate,plate
n3_scene0020,3,10,5,3,2,17.5,43.5,1,cups,cups
n3_scene0020,4,10,2,1,1,12.3,35.0,0,plate,cups
n3_scene0020,9,10,2,1,1,21.1,158.5,0,plate,cups
n3_scene0020,7,10,2,1,1,18.8,126.0,0,flat_screwdriver,cups
n3_scene0020,7,8,2,2,0,79.7,178.9,0,flat_screwdriver,plate
n3_scene0020,2,7,1,0,1,6.0,6.0,1,flat_screwdriver,flat_screwdriver
n3_scene0020,3,6,1,0,1,24.2,24.2,1,cups,cups
n3_scene0020,8,10,1,0,1,14.8,14.8,0,plate,cups
n3_scene0020,3,7,1,1,0,105.1,105.1,0,cups,flat_screwdriver
n3_scene0020,7,9,2,1,1,28.5,67.3,0,flat_screwdriver,plate
n3_scene0020,5,9,1,0,1,10.9,10.9,0,flat_screwdriver,plate
n3_scene0021,2,6,1,0,1,6.7,6.7,1,banana,banana
n3_scene0022,2,13,3,3,0,395.9,485.4,0,gelatin_box,cups
n3_scene0022,4,13,1,1,0,160.5,160.5,1,cups,cups
n3_scene0022,2,7,1,0,1,3.6,3.6,1,gelatin_box,gelatin_box
n3_scene0022,7,11,1,0,1,17.2,17.2,0,gelatin_box,golf_ball
n3_scene0023,5,6,1,0,1,9.9,9.9,1,mustard_bottle,mustard_bottle
n3_scene0023,4,6,4,4,0,43.5,106.3,1,mustard_bottle,mustard_bottle
n3_scene0023,1,11,1,0,1,3.6,3.6,0,softball,mustard_bottle
n3_scene0023,1,4,1,0,1,4.8,4.8,0,softball,mustard_bottle
n3_scene0024,5,6,10,8,2,7.5,53.2,0,tennis_ball,racquetball
n3_scene0024,3,6,1,1,0,96.5,96.5,1,racquetball,racquetball
n3_scene0025,5,6,1,0,1,9.6,9.6,1,cups,cups
n3_scene0025,9,10,2,0,2,0.2,2.2,1,padlock,padlock
n3_scene0026,12,14,1,0,1,3.7,3.7,1,flat_screwdriver,flat_screwdriver
n3_scene0026,14,15,3,0,3,5.0,7.3,1,flat_screwdriver,flat_screwdriver
n3_scene0026,1,2,3,0,3,12.1,14.5,0,cups,flat_screwdriver
n3_scene0026,1,13,2,0,2,10.2,16.4,1,cups,cups
n3_scene0026,2,7,1,0,1,7.4,7.4,0,flat_screwdriver,cups
n3_scene0026,7,13,4,0,4,0.4,3.9,1,cups,cups
n3_scene0026,7,14,1,1,0,41.3,41.3,0,cups,flat_screwdriver
n3_scene0026,2,11,1,1,0,40.4,40.4,0,flat_screwdriver,plate
n3_scene0026,6,11,1,1,0,40.4,40.4,1,plate,plate
n3_scene0026,11,13,1,0,1,36.9,36.9,0,plate,cups
n3_scene0026,2,8,2,0,2,8.4,10.5,0,flat_screwdriver,plate
n3_scene0026,6,8,2,0,2,5.1,6.8,1,plate,plate
n3_scene0026,8,13,2,0,2,6.7,7.6,0,plate,cups
n3_scene0026,2,13,3,2,1,14.3,157.3,0,flat_screwdriver,cups
n3_scene0026,2,12,2,1,1,11.5,47.8,1,flat_screwdriver,flat_screwdriver
n3_scene0026,1,7,2,0,2,0.9,6.2,1,cups,cups
n3_scene0026,1,6,1,0,1,10.0,10.0,0,cups,plate
n3_scene0026,7,16,1,0,1,11.9,11.9,1,cups,cups
n3_scene0026,12,13,1,1,0,123.0,123.0,0,flat_screwdriver,cups
n3_scene0026,7,12,1,0,1,1.0,1.0,0,cups,flat_screwdriver
n3_scene0026,4,7,1,0,1,4.9,4.9,1,cups,cups
n3_scene0027,3,4,1,1,0,108.8,108.8,0,pudding_box,cups
n3_scene0027,3,8,1,1,0,107.4,107.4,0,pudding_box,cups
n3_scene0027,1,4,1,1,0,128.8,128.8,0,pudding_box,cups
n3_scene0027,1,8,1,1,0,128.7,128.7,0,pudding_box,cups
n3_scene0028,6,26,1,1,0,168.6,168.6,0,master_chef_can,cracker_box
n3_scene0028,6,14,1,1,0,232.3,232.3,1,master_chef_can,master_chef_can
n3_scene0028,6,16,1,0,1,37.2,37.2,1,master_chef_can,master_chef_can
n3_scene0028,6,25,1,1,0,158.8,158.8,0,master_chef_can,cracker_box
n3_scene0028,6,24,1,1,0,133.1,133.1,0,master_chef_can,cracker_box
n3_scene0028,6,21,1,0,1,10.8,10.8,1,master_chef_can,master_chef_can
n3_scene0028,6,11,1,1,0,153.3,153.3,0,master_chef_can,cracker_box
n3_scene0028,16,26,2,2,0,108.6,121.3,0,master_chef_can,cracker_box
n3_scene0028,21,26,1,1,0,186.6,186.6,0,master_chef_can,cracker_box
n3_scene0028,14,18,9,7,2,10.2,88.8,0,master_chef_can,bleach_cleanser
n3_scene0028,4,14,7,7,0,40.6,111.3,0,bleach_cleanser,master_chef_can
n3_scene0028,14,16,7,5,2,7.8,46.0,1,master_chef_can,master_chef_can
n3_scene0028,14,21,1,0,1,31.8,31.8,1,master_chef_can,master_chef_can
n3_scene0028,13,14,7,6,1,12.0,85.8,0,bleach_cleanser,master_chef_can
n3_scene0028,16,25,2,2,0,116.5,123.8,0,master_chef_can,cracker_box
n3_scene0028,16,24,2,2,0,94.0,95.2,0,master_chef_can,cracker_box
n3_scene0028,11,16,2,2,0,112.9,119.3,0,cracker_box,master_chef_can
n3_scene0028,21,25,1,0,1,27.7,27.7,0,master_chef_can,cracker_box
n3_scene0028,11,25,6,4,2,11.0,112.0,1,cracker_box,cracker_box
n3_scene0028,11,24,1,0,1,12.8,12.8,1,cracker_box,cracker_box
n3_scene0028,4,26,5,5,0,122.0,157.2,0,bleach_cleanser,cracker_box
n3_scene0028,4,25,3,3,0,68.7,118.8,0,bleach_cleanser,cracker_box
n3_scene0028,4,18,3,2,1,27.7,40.7,1,bleach_cleanser,bleach_cleanser
n3_scene0028,4,10,1,0,1,1.8,1.8,0,bleach_cleanser,cracker_box
n3_scene0028,7,18,1,1,0,172.5,172.5,0,master_chef_can,bleach_cleanser
n3_scene0028,16,18,3,3,0,127.3,136.0,0,master_chef_can,bleach_cleanser
n3_scene0028,14,26,3,3,0,77.6,133.4,0,master_chef_can,cracker_box
n3_scene0028,18,26,4,4,0,113.3,145.2,0,bleach_cleanser,cracker_box
n3_scene0028,18,25,2,2,0,112.8,119.4,0,bleach_cleanser,cracker_box
n3_scene0028,13,26,2,2,0,185.4,197.6,0,bleach_cleanser,cracker_box
n3_scene0028,13,25,1,1,0,50.8,50.8,0,bleach_cleanser,cracker_box
n3_scene0028,4,13,1,1,0,270.0,270.0,1,bleach_cleanser,bleach_cleanser
n3_scene0028,4,16,1,0,1,4.9,4.9,0,bleach_cleanser,master_chef_can
n3_scene0028,4,24,1,1,0,110.5,110.5,0,bleach_cleanser,cracker_box
n3_scene0028,13,18,2,2,0,357.4,464.0,1,bleach_cleanser,bleach_cleanser
n3_scene0028,26,29,1,1,0,184.1,184.1,0,cracker_box,bleach_cleanser
n3_scene0028,14,15,2,2,0,133.9,150.1,1,master_chef_can,master_chef_can
n3_scene0028,13,15,1,1,0,111.0,111.0,0,bleach_cleanser,master_chef_can
n3_scene0028,16,21,2,2,0,79.9,89.4,1,master_chef_can,master_chef_can
n3_scene0028,19,26,1,1,0,177.8,177.8,0,bleach_cleanser,cracker_box
n3_scene0028,18,19,1,0,1,10.7,10.7,1,bleach_cleanser,bleach_cleanser
n3_scene0028,14,19,1,0,1,15.6,15.6,0,master_chef_can,bleach_cleanser
n3_scene0029,5,8,1,0,1,4.1,4.1,1,rubiks_cube,rubiks_cube
n3_scene0029,3,10,1,0,1,38.3,38.3,0,cups,rubiks_cube
n3_scene0029,10,11,1,0,1,2.6,2.6,1,rubiks_cube,rubiks_cube
n3_scene0030,1,10,1,1,0,133.9,133.9,0,power_drill,cups
n3_scene0030,2,10,1,1,0,77.9,77.9,1,cups,cups
n3_scene0030,10,13,3,2,1,35.4,41.4,0,cups,power_drill
n3_scene0030,7,10,6,6,0,44.0,64.7,0,apple,cups
n3_scene0030,1,13,4,2,2,3.3,138.2,1,power_drill,power_drill
n3_scene0030,13,15,4,1,3,0.6,14.2,1,power_drill,power_drill
n3_scene0030,9,13,3,2,1,16.7,86.3,0,cups,power_drill
n3_scene0030,11,13,5,4,1,2.7,157.8,1,power_drill,power_drill
n3_scene0030,3,11,2,0,2,3.2,19.0,1,power_drill,power_drill
n3_scene0030,13,17,2,0,2,8.0,12.4,1,power_drill,power_drill
n3_scene0030,11,14,3,0,3,2.7,4.6,1,power_drill,power_drill
n3_scene0030,1,11,2,1,1,2.8,92.7,1,power_drill,power_drill
n3_scene0030,11,15,4,1,3,0.6,11.8,1,power_drill,power_drill
n3_scene0030,15,16,1,0,1,21.3,21.3,1,power_drill,power_drill
n3_scene0030,7,11,2,1,1,6.9,33.1,0,apple,power_drill
n3_scene0030,3,7,1,1,0,87.4,87.4,0,power_drill,apple
n3_scene0030,3,13,2,1,1,0.4,119.9,1,power_drill,power_drill
n3_scene0030,3,15,2,0,2,2.8,4.7,1,power_drill,power_drill
n3_scene0030,1,15,2,0,2,5.5,10.1,1,power_drill,power_drill
n3_scene0030,1,3,1,1,0,51.9,51.9,1,power_drill,power_drill
n3_scene0030,9,11,1,1,0,55.5,55.5,0,cups,power_drill
n3_scene0030,7,9,1,1,0,68.9,68.9,0,apple,cups
n3_scene0030,1,17,1,0,1,0.9,0.9,1,power_drill,power_drill
n3_scene0030,2,7,1,0,1,23.6,23.6,0,cups,apple
n3_scene0030,11,17,1,0,1,7.0,7.0,1,power_drill,power_drill
n3_scene0031,5,6,5,2,3,14.3,23.0,0,knife,extra_large_clamp
n3_scene0031,2,5,3,3,0,52.6,245.0,0,extra_large_clamp,knife
n3_scene0032,7,11,1,1,0,105.5,105.5,0,tomato_soup_can,bowl
n3_scene0032,11,13,1,1,0,86.7,86.7,0,bowl,tomato_soup_can
n3_scene0032,3,12,1,1,0,515.1,515.1,0,tomato_soup_can,bowl
n3_scene0032,5,8,1,1,0,140.6,140.6,0,adjustable_wrench,tomato_soup_can
n3_scene0032,5,13,2,2,0,115.2,136.0,0,adjustable_wrench,tomato_soup_can
n3_scene0032,3,6,1,1,0,227.2,227.2,0,tomato_soup_can,adjustable_wrench
n3_scene0032,8,13,2,1,1,8.1,72.4,1,tomato_soup_can,tomato_soup_can
n3_scene0032,6,8,1,1,0,216.1,216.1,0,adjustable_wrench,tomato_soup_can
n3_scene0032,7,9,1,1,0,96.0,96.0,0,tomato_soup_can,bowl
n3_scene0032,9,12,1,1,0,229.3,229.3,1,bowl,bowl
n3_scene0032,7,12,1,1,0,71.0,71.0,0,tomato_soup_can,bowl
n3_scene0032,2,12,1,0,1,25.8,25.8,1,bowl,bowl
n3_scene0032,3,9,2,0,2,0.3,1.6,0,tomato_soup_can,bowl
n3_scene0032,2,9,1,0,1,9.1,9.1,1,bowl,bowl
n3_scene0032,3,10,1,0,1,7.2,7.2,0,tomato_soup_can,bowl
n3_scene0032,3,13,2,0,2,6.3,7.1,1,tomato_soup_can,tomato_soup_can
n3_scene0032,2,3,1,0,1,12.1,12.1,0,bowl,tomato_soup_can
n3_scene0033,2,10,2,2,0,748.2,862.9,1,wood_block,wood_block
n3_scene0033,8,12,2,2,0,149.3,153.4,0,lemon,foam_brick
n3_scene0033,2,12,1,1,0,63.8,63.8,0,wood_block,foam_brick
n3_scene0033,4,5,3,0,3,4.0,4.7,1,wood_block,wood_block
n3_scene0033,5,12,1,1,0,61.2,61.2,0,wood_block,foam_brick
n3_scene0033,1,2,2,2,0,64.0,215.0,0,foam_brick,wood_block
n3_scene0033,4,10,2,0,2,3.3,3.4,1,wood_block,wood_block
n3_scene0033,5,10,6,1,5,5.7,7.4,1,wood_block,wood_block
n3_scene0033,1,10,2,1,1,12.8,233.6,0,foam_brick,wood_block
n3_scene0033,12,13,1,0,1,5.6,5.6,1,foam_brick,foam_brick
n3_scene0033,1,8,1,1,0,77.7,77.7,0,foam_brick,lemon
n3_scene0033,5,9,1,1,0,41.6,41.6,1,wood_block,wood_block
n3_scene0034,12,13,10,4,6,11.1,37.0,1,pitcher_base,pitcher_base
n3_scene0034,12,14,2,2,0,70.5,125.7,0,pitcher_base,cups
n3_scene0034,13,14,1,1,0,179.6,179.6,0,pitcher_base,cups
n3_scene0035,10,11,1,1,0,215.6,215.6,0,cups,spoon
n3_scene0035,5,7,2,2,0,183.8,197.6,0,spoon,mini_soccer_ball
n3_scene0035,5,11,3,3,0,83.7,214.0,1,spoon,spoon
n3_scene0035,5,6,9,0,9,0.5,2.2,1,spoon,spoon
n3_scene0035,3,11,3,3,0,280.4,837.8,1,spoon,spoon
n3_scene0035,3,7,2,2,0,269.6,276.7,0,spoon,mini_soccer_ball
n3_scene0035,5,10,1,1,0,248.0,248.0,0,spoon,cups
n3_scene0035,5,8,1,0,1,27.9,27.9,0,spoon,cups
n3_scene0036,9,10,1,0,1,31.2,31.2,0,fork,large_clamp
n3_scene0036,3,8,2,2,0,139.4,142.7,1,large_clamp,large_clamp
n3_scene0036,8,10,1,0,1,1.4,1.4,1,large_clamp,large_clamp
n3_scene0037,2,23,4,0,4,9.5,21.1,1,sugar_box,sugar_box
n3_scene0037,3,23,2,0,2,8.9,14.0,1,sugar_box,sugar_box
