scene,view,objA,objB,same,front_depth_diff_mm,rel_diff
occ3_scene0004,view_el45_az135,pitcher_base,pitcher_base,1,0.8,0.01
occ3_scene0004,view_el45_az225,pitcher_base,foam_brick,0,177.2,2.95
occ3_scene0004,view_el45_az225,pitcher_base,pitcher_base,1,35.4,0.34
occ3_scene0004,view_el60_az180,pitcher_base,pitcher_base,1,151.5,2.25
occ3_scene0004,view_el60_az180,pitcher_base,pitcher_base,1,56.5,0.77
occ3_scene0004,view_el60_az180,pitcher_base,pitcher_base,1,64.1,0.79
occ3_scene0004,view_el60_az180,pitcher_base,pitcher_base,1,5.1,0.06
occ3_scene0004,view_el60_az180,pitcher_base,pitcher_base,1,59.0,1.06
occ3_scene0004,view_el60_az180,foam_brick,foam_brick,1,9.8,0.47
occ3_scene0004,view_el60_az195,pitcher_base,pitcher_base,1,133.4,1.74
occ3_scene0004,view_el60_az195,pitcher_base,pitcher_base,1,31.7,0.54
occ3_scene0004,view_el60_az195,pitcher_base,pitcher_base,1,58.2,0.63
occ3_scene0004,view_el60_az195,pitcher_base,pitcher_base,1,24.4,0.49
occ3_scene0004,view_el60_az195,pitcher_base,pitcher_base,1,37.5,0.71
occ3_scene0004,view_el60_az195,pitcher_base,pitcher_base,1,82.5,1.34
occ3_scene0004,view_el60_az255,pitcher_base,pitcher_base,1,77.3,0.68
occ3_scene0004,view_el60_az255,pitcher_base,pitcher_base,1,21.9,0.37
occ3_scene0004,view_el60_az255,pitcher_base,pitcher_base,1,26.7,0.24
occ3_scene0004,view_el60_az255,pitcher_base,pitcher_base,1,19.4,0.3
occ3_scene0004,view_el75_az105,pitcher_base,pitcher_base,1,181.0,2.85
occ3_scene0004,view_el75_az105,pitcher_base,pitcher_base,1,59.7,0.67
occ3_scene0004,view_el75_az105,pitcher_base,pitcher_base,1,69.1,0.74
occ3_scene0004,view_el75_az105,pitcher_base,pitcher_base,1,25.5,0.34
occ3_scene0004,view_el75_az105,pitcher_base,pitcher_base,1,43.6,0.46
occ3_scene0004,view_el75_az225,pitcher_base,pitcher_base,1,129.0,1.24
occ3_scene0004,view_el75_az225,pitcher_base,pitcher_base,1,23.1,0.41
occ3_scene0004,view_el75_az225,pitcher_base,pitcher_base,1,61.6,1.12
occ3_scene0004,view_el90,pitcher_base,pitcher_base,1,40.0,0.57
occ3_scene0005,view_el30_az135,mug,tennis_ball,0,62.3,2.84
occ3_scene0005,view_el30_az135,cups,cups,1,14.7,0.64
occ3_scene0005,view_el30_az195,mug,tennis_ball,0,56.6,2.78
occ3_scene0005,view_el30_az195,mug,tennis_ball,0,54.6,2.87
occ3_scene0005,view_el30_az195,cups,cups,1,14.2,0.65
occ3_scene0005,view_el30_az210,cups,mug,0,85.8,3.46
occ3_scene0005,view_el30_az210,cups,mug,0,84.9,3.73
occ3_scene0005,view_el30_az210,mug,cups,0,94.0,3.73
occ3_scene0005,view_el30_az210,mug,cups,0,93.1,4.01
occ3_scene0005,view_el30_az210,mug,mug,1,3.6,0.14
occ3_scene0005,view_el30_az210,cups,cups,1,12.5,0.55
occ3_scene0005,view_el30_az210,tennis_ball,tennis_ball,1,8.5,0.54
occ3_scene0005,view_el30_az240,cups,mug,0,101.0,3.44
occ3_scene0005,view_el30_az240,mug,cups,0,105.2,3.69
occ3_scene0005,view_el30_az240,cups,cups,1,8.0,0.39
occ3_scene0005,view_el30_az240,tennis_ball,tennis_ball,1,5.9,0.45
occ3_scene0005,view_el45_az135,mug,tennis_ball,0,49.6,2.34
occ3_scene0005,view_el45_az135,tennis_ball,mug,0,45.8,2.05
occ3_scene0005,view_el45_az135,mug,mug,1,6.9,0.28
occ3_scene0005,view_el45_az135,mug,mug,1,2.7,0.11
occ3_scene0005,view_el45_az135,cups,cups,1,16.2,0.62
occ3_scene0005,view_el45_az225,cups,mug,0,82.5,2.73
occ3_scene0005,view_el45_az225,mug,cups,0,87.0,2.79
occ3_scene0005,view_el45_az225,cups,cups,1,13.3,0.45
occ3_scene0005,view_el45_az225,tennis_ball,tennis_ball,1,8.1,0.44
occ3_scene0005,view_el60_az180,cups,cups,1,37.1,1.48
occ3_scene0005,view_el60_az195,cups,cups,1,37.2,1.52
occ3_scene0005,view_el60_az255,tennis_ball,tennis_ball,1,4.7,0.29
occ3_scene0005,view_el60_az255,tennis_ball,tennis_ball,1,10.5,0.64
occ3_scene0005,view_el60_az255,mug,mug,1,24.4,1.51
occ3_scene0005,view_el60_az255,tennis_ball,tennis_ball,1,5.3,0.34
occ3_scene0006,view_el30_az135,cups,large_clamp,0,116.9,6.65
occ3_scene0006,view_el30_az135,cups,baseball,0,95.9,1.54
occ3_scene0006,view_el30_az135,cups,large_clamp,0,127.7,5.89
occ3_scene0006,view_el30_az135,cups,large_clamp,0,128.5,5.88
occ3_scene0006,view_el30_az135,cups,baseball,0,105.7,5.59
occ3_scene0006,view_el30_az135,large_clamp,cups,0,128.0,5.71
occ3_scene0006,view_el30_az135,large_clamp,baseball,0,15.6,0.32
occ3_scene0006,view_el30_az135,large_clamp,cups,0,129.7,3.7
occ3_scene0006,view_el30_az135,cups,cups,1,1.1,0.05
occ3_scene0006,view_el30_az135,cups,large_clamp,0,129.1,5.62
occ3_scene0006,view_el30_az135,cups,baseball,0,106.3,5.31
occ3_scene0006,view_el30_az195,large_clamp,baseball,0,94.7,4.2
occ3_scene0006,view_el30_az195,large_clamp,large_clamp,1,34.9,0.85
occ3_scene0006,view_el30_az195,cups,cups,1,7.5,0.37
occ3_scene0006,view_el30_az195,baseball,large_clamp,0,62.7,1.52
occ3_scene0006,view_el30_az210,large_clamp,baseball,0,106.5,5.46
occ3_scene0006,view_el30_az240,large_clamp,cups,0,98.7,2.92
occ3_scene0006,view_el30_az240,large_clamp,cups,0,103.0,3.31
occ3_scene0006,view_el30_az240,cups,cups,1,14.3,0.72
occ3_scene0006,view_el45_az135,cups,large_clamp,0,114.4,4.48
occ3_scene0006,view_el45_az135,cups,baseball,0,91.2,4.5
occ3_scene0006,view_el45_az135,cups,cups,1,9.7,0.52
occ3_scene0006,view_el45_az135,cups,cups,1,24.7,1.26
occ3_scene0006,view_el45_az225,large_clamp,large_clamp,1,23.1,0.76
occ3_scene0006,view_el45_az225,cups,cups,1,13.9,0.61
occ3_scene0006,view_el60_az180,cups,cups,1,11.8,0.78
occ3_scene0006,view_el60_az195,large_clamp,large_clamp,1,29.5,1.6
occ3_scene0006,view_el60_az195,cups,cups,1,5.7,0.35
occ3_scene0006,view_el75_az225,large_clamp,large_clamp,1,15.6,1.11
occ3_scene0006,view_el75_az225,large_clamp,large_clamp,1,3.2,0.43
occ3_scene0006,view_el90,cups,cups,1,10.0,0.67
occ3_scene0007,view_el30_az135,sponge,foam_brick,0,65.7,2.59
occ3_scene0007,view_el30_az195,foam_brick,padlock,0,115.9,7.57
occ3_scene0007,view_el30_az195,foam_brick,padlock,0,114.5,7.9
occ3_scene0007,view_el30_az195,foam_brick,foam_brick,1,9.2,0.62
occ3_scene0007,view_el30_az195,foam_brick,padlock,0,122.3,8.17
occ3_scene0007,view_el30_az195,foam_brick,padlock,0,120.9,8.55
occ3_scene0007,view_el30_az195,padlock,padlock,1,8.6,0.72
occ3_scene0007,view_el30_az210,foam_brick,sponge,0,36.6,1.29
occ3_scene0007,view_el30_az210,foam_brick,sponge,0,41.7,1.82
occ3_scene0007,view_el30_az210,foam_brick,padlock,0,113.2,6.17
occ3_scene0007,view_el30_az210,sponge,foam_brick,0,36.5,1.7
occ3_scene0007,view_el30_az240,foam_brick,sponge,0,83.7,2.57
occ3_scene0007,view_el45_az225,foam_brick,sponge,0,62.6,2.37
occ3_scene0007,view_el60_az180,padlock,padlock,1,6.3,0.56
occ3_scene0007,view_el60_az195,padlock,padlock,1,3.6,0.45
occ3_scene0007,view_el60_az195,padlock,padlock,1,6.2,0.51
occ3_scene0007,view_el60_az255,sponge,foam_brick,0,78.1,3.38
occ3_scene0007,view_el60_az255,padlock,padlock,1,9.2,1.36
occ3_scene0007,view_el75_az105,padlock,padlock,1,2.1,0.22
occ3_scene0007,view_el90,padlock,padlock,1,0.0,0.0
occ3_scene0008,view_el30_az135,cups,cups,1,2.2,0.11
occ3_scene0008,view_el30_az195,scissors,scissors,1,58.2,2.58
occ3_scene0008,view_el30_az195,cups,cups,1,7.5,0.32
occ3_scene0008,view_el30_az210,cups,cups,1,6.6,0.27
occ3_scene0008,view_el30_az240,cups,scissors,0,89.6,4.38
occ3_scene0008,view_el30_az240,cups,scissors,0,83.3,4.27
occ3_scene0008,view_el30_az240,cups,scissors,0,100.5,4.0
occ3_scene0008,view_el30_az240,cups,scissors,0,112.6,2.55
occ3_scene0008,view_el30_az240,cups,cups,1,2.5,0.11
occ3_scene0008,view_el30_az240,cups,scissors,0,99.3,4.27
occ3_scene0008,view_el30_az240,cups,scissors,0,111.5,2.64
occ3_scene0008,view_el30_az240,cups,scissors,0,101.8,3.82
occ3_scene0008,view_el30_az240,cups,scissors,0,114.0,2.5
occ3_scene0008,view_el30_az240,scissors,scissors,1,20.5,0.55
occ3_scene0008,view_el45_az135,cups,cups,1,8.7,0.37
occ3_scene0008,view_el45_az135,cups,cups,1,11.8,0.52
occ3_scene0008,view_el45_az225,cups,scissors,0,84.7,2.63
occ3_scene0008,view_el45_az225,scissors,scissors,1,31.5,1.05
occ3_scene0008,view_el45_az225,scissors,scissors,1,30.0,1.05
occ3_scene0008,view_el60_az180,cups,cups,1,11.0,0.4
occ3_scene0008,view_el60_az180,cups,cups,1,21.0,1.01
occ3_scene0008,view_el60_az180,cups,cups,1,26.2,1.36
occ3_scene0008,view_el60_az195,scissors,scissors,1,22.2,1.43
occ3_scene0008,view_el60_az195,scissors,scissors,1,23.3,1.69
occ3_scene0008,view_el60_az195,scissors,scissors,1,26.0,1.7
occ3_scene0008,view_el60_az255,cups,scissors,0,95.6,3.51
occ3_scene0008,view_el60_az255,cups,scissors,0,109.8,3.18
occ3_scene0008,view_el60_az255,cups,scissors,0,101.7,4.02
occ3_scene0008,view_el60_az255,scissors,scissors,1,22.2,0.84
occ3_scene0008,view_el60_az255,scissors,scissors,1,14.2,0.83
occ3_scene0008,view_el60_az255,scissors,scissors,1,53.0,2.49
occ3_scene0008,view_el60_az255,cups,cups,1,21.3,0.78
occ3_scene0008,view_el75_az105,scissors,scissors,1,4.0,0.34
occ3_scene0008,view_el75_az105,scissors,scissors,1,6.5,0.59
occ3_scene0008,view_el75_az105,scissors,scissors,1,4.1,0.28
occ3_scene0008,view_el75_az105,scissors,scissors,1,1.2,0.08
occ3_scene0008,view_el75_az105,scissors,scissors,1,15.6,1.25
occ3_scene0008,view_el75_az225,scissors,scissors,1,17.9,1.24
occ3_scene0008,view_el75_az225,scissors,scissors,1,16.7,1.15
occ3_scene0008,view_el90,scissors,scissors,1,10.0,1.0
occ3_scene0008,view_el90,scissors,scissors,1,10.0,1.0
occ3_scene0008,view_el90,scissors,scissors,1,10.0,1.0
occ3_scene0008,view_el90,scissors,scissors,1,10.0,1.0
occ3_scene0008,view_el90,scissors,scissors,1,0.1,0.02
occ3_scene0009,view_el30_az210,softball,gelatin_box,0,129.3,6.55
occ3_scene0009,view_el30_az210,softball,gelatin_box,0,133.8,7.43
occ3_scene0009,view_el30_az240,softball,gelatin_box,0,152.2,6.47
occ3_scene0009,view_el45_az225,softball,gelatin_box,0,131.6,5.75
occ3_scene0010,view_el30_az135,mustard_bottle,mustard_bottle,1,31.1,1.2
occ3_scene0010,view_el30_az195,mustard_bottle,mustard_bottle,1,3.6,0.25
occ3_scene0010,view_el30_az240,mustard_bottle,mustard_bottle,1,1.9,0.1
occ3_scene0010,view_el45_az135,mustard_bottle,mustard_bottle,1,48.5,1.35
occ3_scene0010,view_el45_az225,mustard_bottle,mustard_bottle,1,3.5,0.18
occ3_scene0010,view_el60_az180,large_marker,large_marker,1,0.0,0.0
occ3_scene0010,view_el60_az195,mustard_bottle,mustard_bottle,1,18.8,0.43
occ3_scene0010,view_el60_az195,large_marker,large_marker,1,6.0,0.83
occ3_scene0010,view_el75_az225,mustard_bottle,mustard_bottle,1,66.7,2.56
occ3_scene0011,view_el30_az135,cups,pudding_box,0,95.2,4.53
occ3_scene0011,view_el30_az135,cups,cups,0,52.6,2.57
occ3_scene0011,view_el30_az135,pudding_box,cups,0,93.2,4.72
occ3_scene0011,view_el30_az135,pudding_box,cups,0,98.5,4.02
occ3_scene0011,view_el30_az135,cups,cups,0,50.7,2.64
occ3_scene0011,view_el30_az135,cups,cups,1,5.3,0.23
occ3_scene0011,view_el30_az135,cups,cups,0,55.9,2.34
occ3_scene0011,view_el30_az195,cups,pudding_box,0,101.6,4.37
occ3_scene0011,view_el30_az195,cups,pudding_box,0,116.6,5.33
occ3_scene0011,view_el30_az195,pudding_box,cups,0,99.8,4.48
occ3_scene0011,view_el30_az195,pudding_box,cups,0,105.2,4.43
occ3_scene0011,view_el30_az195,pudding_box,cups,0,116.9,4.77
occ3_scene0011,view_el30_az195,cups,cups,1,5.4,0.25
occ3_scene0011,view_el30_az195,cups,cups,1,0.8,0.04
occ3_scene0011,view_el30_az210,cups,pudding_box,0,117.1,5.44
occ3_scene0011,view_el30_az210,pudding_box,cups,0,119.4,5.1
occ3_scene0011,view_el30_az210,cups,cups,1,8.3,0.39
occ3_scene0011,view_el30_az210,cups,cups,1,4.1,0.21
occ3_scene0011,view_el30_az240,pudding_box,cups,0,96.6,4.34
occ3_scene0011,view_el30_az240,pudding_box,cups,0,101.6,4.3
occ3_scene0011,view_el30_az240,cups,cups,0,50.4,2.54
occ3_scene0011,view_el30_az240,cups,cups,0,48.0,2.6
occ3_scene0011,view_el30_az240,cups,cups,0,55.4,2.61
occ3_scene0011,view_el30_az240,cups,cups,1,7.4,0.39
occ3_scene0011,view_el45_az135,pudding_box,cups,0,87.2,3.84
occ3_scene0011,view_el45_az135,cups,cups,0,41.7,1.96
occ3_scene0011,view_el45_az135,cups,cups,1,11.2,0.49
occ3_scene0011,view_el45_az225,cups,cups,0,33.8,1.41
occ3_scene0011,view_el45_az225,cups,cups,0,37.5,1.63
occ3_scene0011,view_el60_az180,pudding_box,cups,0,79.8,3.59
occ3_scene0011,view_el60_az180,cups,cups,1,12.3,0.46
occ3_scene0011,view_el60_az195,pudding_box,cups,0,73.9,3.3
occ3_scene0011,view_el60_az195,cups,cups,1,12.1,0.44
occ3_scene0011,view_el60_az195,cups,cups,1,18.1,0.7
occ3_scene0011,view_el60_az255,cups,cups,0,31.6,1.41
occ3_scene0011,view_el60_az255,cups,cups,0,40.7,1.65
occ3_scene0011,view_el60_az255,cups,cups,1,20.8,0.98
occ3_scene0011,view_el75_az105,cups,cups,0,25.8,1.85
occ3_scene0012,view_el30_az135,cups,cups,1,6.4,0.3
occ3_scene0012,view_el30_az135,cups,cups,1,18.6,1.2
occ3_scene0012,view_el30_az135,padlock,padlock,1,1.1,0.08
occ3_scene0012,view_el30_az195,cups,cups,1,8.9,0.47
occ3_scene0012,view_el30_az195,padlock,padlock,1,6.4,0.56
occ3_scene0012,view_el30_az210,cups,cups,1,11.0,0.6
occ3_scene0012,view_el30_az240,cups,strawberry,0,64.5,4.27
occ3_scene0012,view_el45_az135,cups,cups,1,17.2,0.84
occ3_scene0012,view_el45_az135,padlock,padlock,1,1.0,0.07
occ3_scene0012,view_el45_az225,cups,cups,1,12.9,0.59
occ3_scene0012,view_el60_az180,padlock,padlock,1,3.0,0.37
occ3_scene0012,view_el60_az195,cups,cups,1,19.5,0.99
occ3_scene0012,view_el60_az195,cups,cups,1,0.5,0.05
occ3_scene0012,view_el60_az195,cups,cups,1,23.0,1.26
occ3_scene0012,view_el60_az195,padlock,padlock,1,4.5,0.59
occ3_scene0012,view_el75_az225,cups,cups,1,30.1,1.61
occ3_scene0012,view_el90,padlock,padlock,1,0.0,0.0
occ3_scene0013,view_el30_az135,tomato_soup_can,cups,0,140.3,5.8
occ3_scene0013,view_el30_az135,tomato_soup_can,cups,0,139.7,5.68
occ3_scene0013,view_el30_az135,tomato_soup_can,golf_ball,0,76.8,2.72
occ3_scene0013,view_el30_az135,tomato_soup_can,cups,0,131.4,4.92
occ3_scene0013,view_el30_az135,tomato_soup_can,cups,0,133.9,4.84
occ3_scene0013,view_el30_az135,tomato_soup_can,golf_ball,0,82.9,4.29
occ3_scene0013,view_el30_az135,tomato_soup_can,cups,0,143.0,5.77
