class,shoulder,plane_med,zov,objA,objB,scene
並排有縫,0.7021276595744681,264.7,1.0,sugar_box,nine_hole_peg_test,n3_scene0037
同物過切,0.40476190476190477,21.1,0.07,sugar_box,sugar_box,n3_scene0037
同物過切,0.6808510638297872,2.8,0.2,potted_meat_can,potted_meat_can,n3_scene0037
同物過切,0.5531914893617021,7.3,1.0,nine_hole_peg_test,nine_hole_peg_test,n3_scene0037
同物過切,0.8404255319148937,4.3,0.2,potted_meat_can,potted_meat_can,n3_scene0037
同物過切,0.76,7.2,0.85,sugar_box,sugar_box,n3_scene0037
並排有縫,0.1063829787234043,243.1,0.0,sugar_box,nine_hole_peg_test,n3_scene0037
同物過切,0.6923076923076923,10.8,1.0,tuna_fish_can,tuna_fish_can,n3_scene0039
同物過切,0.5517241379310345,7.1,1.0,orange,orange,n3_scene0040
同物過切,0.8770491803278688,16.0,0.71,mug,mug,n3_scene0040
同物過切,0.25,6.2,1.0,cups,cups,n3_scene0041
同物過切,0.5849056603773585,8.4,0.5,cups,cups,n3_scene0041
同物過切,0.19999999999999996,12.3,1.0,scissors,scissors,n3_scene0041
並排有縫,0.38636363636363635,168.2,0.0,cups,scissors,n3_scene0041
同物過切,0.509090909090909,11.0,1.0,scissors,scissors,n3_scene0041
同物過切,0.5957446808510638,35.0,0.5,wood_block,wood_block,n3_scene0044
並排有縫,0.6082474226804124,98.8,1.0,cups,mustard_bottle,n3_scene0045
並排有縫,0.6907216494845361,112.3,0.0,cups,mustard_bottle,n3_scene0045
並排有縫,0.873015873015873,131.7,0.0,baseball,cracker_box,n3_scene0046
同物過切,0.625,9.2,1.0,cracker_box,cracker_box,n3_scene0046
並排有縫,0.935483870967742,131.7,1.0,baseball,cracker_box,n3_scene0046
同物過切,0.25,23.1,1.0,cups,cups,n3_scene0047
並排有縫,0.5384615384615384,37.7,1.0,cups,cups,n3_scene0047
同物過切,0.7391304347826086,10.2,1.0,scissors,scissors,n3_scene0048
並排有縫,0.5625,223.1,0.0,cups,orange,n3_scene0048
並排有縫,0.7681159420289855,223.1,0.6,cups,orange,n3_scene0048
並排有縫,0.3114754098360656,154.4,1.0,mug,rubiks_cube,n3_scene0051
同物過切,0.09677419354838712,3.0,0.67,knife,knife,n3_scene0051
同物過切,0.7669902912621359,9.0,0.2,potted_meat_can,potted_meat_can,n3_scene0052
並排有縫,0.751412429378531,122.1,0.0,master_chef_can,gelatin_box,n3_scene0053
同物過切,0.5706214689265536,14.9,0.0,master_chef_can,master_chef_can,n3_scene0053
並排有縫,0.7175141242937852,137.2,0.0,master_chef_can,nine_hole_peg_test,n3_scene0053
並排有縫,0.5352112676056338,157.8,1.0,master_chef_can,nine_hole_peg_test,n3_scene0053
並排有縫,0.3802816901408451,126.0,1.0,master_chef_can,gelatin_box,n3_scene0053
同物過切,0.16000000000000003,8.8,1.0,nine_hole_peg_test,nine_hole_peg_test,n3_scene0053
並排有縫,0.30000000000000004,138.8,0.0,master_chef_can,nine_hole_peg_test,n3_scene0053
並排有縫,0.295774647887324,142.7,1.0,master_chef_can,nine_hole_peg_test,n3_scene0053
並排有縫,0.8135593220338984,114.0,0.0,master_chef_can,nine_hole_peg_test,n3_scene0053
並排有縫,0.6060606060606061,135.9,0.31,master_chef_can,nine_hole_peg_test,n3_scene0053
同物過切,0.5686274509803921,106.6,1.0,power_drill,power_drill,n3_scene0054
同物過切,0.31999999999999995,6.2,1.0,apple,apple,n3_scene0054
同物過切,0.0,2.8,0.43,tomato_soup_can,tomato_soup_can,n3_scene0055
同物過切,0.05769230769230771,1.4,1.0,fork,fork,n3_scene0056
同物過切,0.8873239436619719,43.1,0.88,pitcher_base,pitcher_base,n3_scene0058
並排有縫,0.8367346938775511,221.6,1.0,bleach_cleanser,pitcher_base,n3_scene0058
並排有縫,0.7777777777777778,224.7,0.92,pitcher_base,bleach_cleanser,n3_scene0058
同物過切,0.5,18.2,0.0,bleach_cleanser,bleach_cleanser,n3_scene0058
同物過切,0.0,26.8,0.67,bleach_cleanser,bleach_cleanser,n3_scene0058
並排有縫,0.0,220.1,0.88,pitcher_base,bleach_cleanser,n3_scene0058
並排有縫,0.08163265306122447,221.4,1.0,pitcher_base,cups,n3_scene0058
並排有縫,0.8873239436619719,198.9,0.67,pitcher_base,bleach_cleanser,n3_scene0058
同物過切,0.6875,1.1,0.08,sugar_box,sugar_box,n3_scene0059
同物過切,0.0,3.1,0.15,sugar_box,sugar_box,n3_scene0059
同物過切,0.84375,26.9,0.0,sugar_box,sugar_box,n3_scene0059
同物過切,0.33333333333333337,16.9,0.0,sugar_box,sugar_box,n3_scene0059
同物過切,0.75,0.5,0.38,sugar_box,sugar_box,n3_scene0059
同物過切,0.6210526315789473,13.4,0.33,tuna_fish_can,tuna_fish_can,n3_scene0060
並排有縫,0.48,151.8,1.0,bowl,lemon,n3_scene0061
並排有縫,0.7346938775510203,110.7,1.0,cups,bowl,n3_scene0061
並排有縫,0.34042553191489366,82.8,1.0,cups,large_marker,n4_scene0001
並排有縫,0.9230769230769231,242.6,0.0,cracker_box,orange,n4_scene0001
同物過切,0.7241379310344828,8.0,0.88,cracker_box,cracker_box,n4_scene0001
並排有縫,0.8333333333333334,242.6,1.0,cracker_box,orange,n4_scene0001
並排有縫,0.5538461538461539,243.3,0.8,cracker_box,orange,n4_scene0001
並排有縫,0.14814814814814814,186.6,1.0,cups,nine_hole_peg_test,n4_scene0002
同物過切,0.6956521739130435,12.9,1.0,nine_hole_peg_test,nine_hole_peg_test,n4_scene0002
並排有縫,0.27692307692307694,121.3,1.0,nine_hole_peg_test,master_chef_can,n4_scene0002
同物過切,0.7622950819672132,12.5,0.5,master_chef_can,master_chef_can,n4_scene0002
並排有縫,0.12962962962962965,171.2,1.0,cups,nine_hole_peg_test,n4_scene0002
同物過切,0.7884615384615384,2.2,1.0,phillips_screwdriver,phillips_screwdriver,n4_scene0003
同物過切,0.55,14.4,0.92,apple,apple,n4_scene0004
並排有縫,0.5,62.2,1.0,apple,tomato_soup_can,n4_scene0004
並排有縫,0.6161616161616161,241.1,1.0,tomato_soup_can,large_clamp,n4_scene0004
同物過切,0.05882352941176472,1.9,1.0,fork,fork,n4_scene0006
同物過切,0.9107142857142857,16.9,0.8,cups,cups,n4_scene0007
同物過切,0.13793103448275867,2.3,0.67,knife,knife,n4_scene0007
同物過切,0.2068965517241379,23.7,1.0,power_drill,power_drill,n4_scene0007
同物過切,0.5490196078431373,112.5,1.0,power_drill,power_drill,n4_scene0007
同物過切,0.21875,137.3,1.0,power_drill,power_drill,n4_scene0007
同物過切,0.27586206896551724,13.8,1.0,extra_large_clamp,extra_large_clamp,n4_scene0007
同物過切,0.13793103448275867,1.7,1.0,power_drill,power_drill,n4_scene0007
並排有縫,0.24590163934426235,119.8,1.0,cups,tuna_fish_can,n4_scene0008
並排有縫,0.04347826086956519,139.3,1.0,cups,potted_meat_can,n4_scene0008
同物過切,0.368421052631579,5.3,0.67,tuna_fish_can,tuna_fish_can,n4_scene0008
同物過切,0.42105263157894735,6.2,0.0,potted_meat_can,potted_meat_can,n4_scene0008
並排有縫,0.17391304347826086,110.4,1.0,cups,tuna_fish_can,n4_scene0008
同物過切,0.46341463414634143,21.2,1.0,cups,cups,n4_scene0008
並排有縫,0.03076923076923077,160.0,1.0,mug,mini_soccer_ball,n4_scene0009
並排有縫,0.7674418604651163,140.1,1.0,cups,mug,n4_scene0009
同物過切,0.6875,4.7,0.57,cups,cups,n4_scene0009
並排有縫,0.3913043478260869,152.0,1.0,mug,mini_soccer_ball,n4_scene0009
同物過切,0.3384615384615385,1.6,0.14,mug,mug,n4_scene0009
同物過切,0.6923076923076923,6.0,1.0,scissors,scissors,n4_scene0011
並排有縫,0.0,177.1,1.0,bleach_cleanser,bowl,n4_scene0011
同物過切,0.7,0.5,0.91,bleach_cleanser,bleach_cleanser,n4_scene0011
同物過切,0.32258064516129037,7.3,0.25,bleach_cleanser,bleach_cleanser,n4_scene0011
同物過切,0.7980769230769231,4.7,1.0,scissors,scissors,n4_scene0011
並排有縫,0.5373134328358209,233.2,0.0,bowl,bleach_cleanser,n4_scene0011
並排有縫,0.7313432835820896,157.3,1.0,cups,bleach_cleanser,n4_scene0011
同物過切,0.8578680203045685,1.5,1.0,pitcher_base,pitcher_base,n4_scene0012
同物過切,0.0,3.1,1.0,rubiks_cube,rubiks_cube,n4_scene0012
同物過切,0.5532994923857868,1.5,1.0,pitcher_base,pitcher_base,n4_scene0012
同物過切,0.9390862944162437,17.3,1.0,pitcher_base,pitcher_base,n4_scene0012
並排有縫,0.16216216216216217,88.5,1.0,pitcher_base,rubiks_cube,n4_scene0012
同物過切,0.6666666666666667,18.1,0.07,sugar_box,sugar_box,n4_scene0013
同物過切,0.6017699115044248,10.8,0.4,wood_block,wood_block,n4_scene0013
並排有縫,0.6571428571428571,271.1,1.0,sugar_box,wood_block,n4_scene0013
並排有縫,0.25,276.6,1.0,wood_block,sugar_box,n4_scene0013
並排有縫,0.7142857142857143,275.0,1.0,wood_block,sugar_box,n4_scene0013
同物過切,0.41666666666666663,10.2,0.07,sugar_box,sugar_box,n4_scene0013
並排有縫,0.2222222222222222,143.9,1.0,wood_block,baseball,n4_scene0013
並排有縫,0.5384615384615384,281.5,1.0,wood_block,sugar_box,n4_scene0013
並排有縫,0.6153846153846154,288.0,1.0,wood_block,sugar_box,n4_scene0013
同物過切,0.8840579710144928,0.6,0.83,cups,cups,n4_scene0014
並排有縫,0.9,55.3,1.0,cups,padlock,n4_scene0014
同物過切,0.855072463768116,15.9,0.17,cups,cups,n4_scene0014
並排有縫,0.6349206349206349,121.2,0.67,cups,tennis_ball,n4_scene0014
同物過切,0.6290322580645161,5.3,0.89,cups,cups,n4_scene0014
同物過切,0.7938931297709924,9.1,1.0,scissors,scissors,n4_scene0016
並排有縫,0.03703703703703709,91.9,1.0,cups,cups,n4_scene0017
同物過切,0.3695652173913043,1.4,0.67,cups,cups,n4_scene0017
同物過切,0.20588235294117652,3.7,0.43,cups,cups,n4_scene0017
同物過切,0.06666666666666665,8.2,1.0,potted_meat_can,potted_meat_can,n4_scene0017
並排有縫,0.1470588235294118,77.4,0.86,cups,cups,n4_scene0017
並排有縫,0.7784090909090909,142.6,1.0,softball,sponge,n4_scene0018
並排有縫,0.30188679245283023,113.5,1.0,pitcher_base,lemon,n4_scene0019
同物過切,0.9736842105263158,15.7,1.0,pitcher_base,pitcher_base,n4_scene0019
並排有縫,0.7567567567567568,157.8,0.0,lemon,pitcher_base,n4_scene0019
並排有縫,0.8313253012048193,65.5,1.0,apple,tuna_fish_can,n4_scene0020
並排有縫,0.5333333333333333,66.7,1.0,apple,tuna_fish_can,n4_scene0020
同物過切,0.6428571428571428,8.9,0.6,tuna_fish_can,tuna_fish_can,n4_scene0020
同物過切,0.9473684210526316,20.7,0.89,bowl,bowl,n4_scene0021
同物過切,0.9444444444444444,72.6,1.0,power_drill,power_drill,n4_scene0022
同物過切,0.7857142857142857,5.1,1.0,power_drill,power_drill,n4_scene0022
並排有縫,0.37735849056603776,154.4,1.0,mustard_bottle,cups,n4_scene0024
並排有縫,0.18181818181818177,165.2,0.0,mustard_bottle,cups,n4_scene0024
同物過切,0.21212121212121215,34.2,1.0,mustard_bottle,mustard_bottle,n4_scene0024
同物過切,0.18181818181818177,31.3,0.29,mustard_bottle,mustard_bottle,n4_scene0024
並排有縫,0.9459459459459459,94.2,0.0,cracker_box,spoon,n4_scene0025
同物過切,0.75,1.4,0.79,cracker_box,cracker_box,n4_scene0025
同物過切,0.33333333333333337,2.2,0.77,cracker_box,cracker_box,n4_scene0025
並排有縫,0.9310344827586207,264.5,1.0,sugar_box,cracker_box,n4_scene0025
同物過切,0.5862068965517242,25.0,0.0,sugar_box,sugar_box,n4_scene0025
並排有縫,0.27586206896551724,305.0,1.0,cracker_box,spoon,n4_scene0025
同物過切,0.125,1.5,0.0,cracker_box,cracker_box,n4_scene0025
同物過切,0.2941176470588235,1.9,0.0,sugar_box,sugar_box,n4_scene0025
同物過切,0.41666666666666663,17.0,0.0,cracker_box,cracker_box,n4_scene0025
並排有縫,0.11764705882352944,283.7,0.67,sugar_box,cracker_box,n4_scene0025
同物過切,0.8,0.4,0.4,cracker_box,cracker_box,n4_scene0025
同物過切,0.0,3.8,0.8,sugar_box,sugar_box,n4_scene0025
並排有縫,0.9523809523809523,305.0,0.0,cracker_box,spoon,n4_scene0025
並排有縫,0.3620689655172413,94.2,1.0,cracker_box,spoon,n4_scene0025
同物過切,0.5333333333333333,2.2,1.0,cracker_box,cracker_box,n4_scene0025
同物過切,0.2941176470588235,17.3,0.13,sugar_box,sugar_box,n4_scene0025
並排有縫,0.7647058823529411,264.5,0.27,sugar_box,cracker_box,n4_scene0025
並排有縫,0.18333333333333335,307.3,1.0,wood_block,tennis_ball,n4_scene0027
並排有縫,0.6111111111111112,245.0,0.0,wood_block,pear,n4_scene0027
並排有縫,0.4666666666666667,290.3,1.0,tennis_ball,wood_block,n4_scene0027
同物過切,0.4285714285714286,11.8,0.67,wood_block,wood_block,n4_scene0027
並排有縫,0.09259259259259256,222.4,1.0,wood_block,pear,n4_scene0027
並排有縫,0.9420289855072463,86.0,1.0,cups,master_chef_can,n4_scene0028
並排有縫,0.9047619047619048,58.5,0.0,cups,master_chef_can,n4_scene0028
並排有縫,0.7647058823529411,90.5,0.79,cups,master_chef_can,n4_scene0028
並排有縫,0.8260869565217391,92.5,1.0,master_chef_can,cups,n4_scene0028
同物過切,0.15217391304347827,3.1,1.0,knife,knife,n4_scene0028
同物過切,0.4545454545454546,22.3,0.29,master_chef_can,master_chef_can,n4_scene0028
同物過切,0.8333333333333334,16.4,1.0,cups,cups,n4_scene0028
並排有縫,0.7142857142857143,119.5,0.0,cups,master_chef_can,n4_scene0028
同物過切,0.08571428571428574,6.4,0.0,bleach_cleanser,bleach_cleanser,n4_scene0029
並排有縫,0.7128712871287128,256.0,1.0,bleach_cleanser,fork,n4_scene0029
並排有縫,0.7064220183486238,99.2,1.0,nine_hole_peg_test,bleach_cleanser,n4_scene0029
同物過切,0.5,45.4,0.0,bleach_cleanser,bleach_cleanser,n4_scene0029
並排有縫,0.21621621621621623,123.3,1.0,baseball,bleach_cleanser,n4_scene0029
並排有縫,0.23684210526315785,99.3,1.0,nine_hole_peg_test,bleach_cleanser,n4_scene0029
同物過切,0.6513761467889908,19.3,1.0,nine_hole_peg_test,nine_hole_peg_test,n4_scene0029
同物過切,0.34375,14.3,0.0,bleach_cleanser,bleach_cleanser,n4_scene0029
同物過切,0.7209302325581395,9.0,1.0,mini_soccer_ball,mini_soccer_ball,n4_scene0030
並排有縫,0.8,71.0,0.94,cups,mini_soccer_ball,n4_scene0030
同物過切,0.7777777777777778,9.5,1.0,mini_soccer_ball,mini_soccer_ball,n4_scene0030
並排有縫,0.4,53.9,0.09,mini_soccer_ball,cups,n4_scene0030
並排有縫,0.4,53.9,0.75,mini_soccer_ball,cups,n4_scene0030
並排有縫,0.05555555555555558,84.2,1.0,phillips_screwdriver,cups,n4_scene0031
並排有縫,0.675,196.3,1.0,softball,bleach_cleanser,n4_scene0033
同物過切,0.11904761904761907,10.1,1.0,tuna_fish_can,tuna_fish_can,n4_scene0033
並排有縫,0.9125,205.2,0.0,softball,bleach_cleanser,n4_scene0033
同物過切,0.3902439024390244,15.4,0.2,bleach_cleanser,bleach_cleanser,n4_scene0033
同物過切,0.1428571428571429,4.8,0.0,bleach_cleanser,bleach_cleanser,n4_scene0033
同物過切,0.48484848484848486,8.9,0.2,bleach_cleanser,bleach_cleanser,n4_scene0033
並排有縫,0.6875,224.2,0.0,softball,bleach_cleanser,n4_scene0033
同物過切,0.5789473684210527,0.6,0.88,cups,cups,n4_scene0034
同物過切,0.07407407407407407,14.2,0.57,master_chef_can,master_chef_can,n4_scene0035
同物過切,0.09523809523809523,0.1,0.56,cups,cups,n4_scene0035
同物過切,0.6296296296296297,4.1,1.0,master_chef_can,master_chef_can,n4_scene0035
同物過切,0.045454545454545414,5.4,1.0,cups,cups,n4_scene0035
同物過切,0.2586206896551724,1.7,0.67,knife,knife,n4_scene0035
並排有縫,0.25396825396825395,234.6,1.0,pitcher_base,spoon,n4_scene0036
同物過切,0.5797101449275363,3.9,1.0,scissors,scissors,n4_scene0037
同物過切,0.37209302325581395,10.1,1.0,scissors,scissors,n4_scene0037
並排有縫,0.15000000000000002,78.9,1.0,cups,wood_block,n4_scene0039
同物過切,0.5757575757575757,5.8,1.0,power_drill,power_drill,n4_scene0040
同物過切,0.16666666666666663,7.4,1.0,power_drill,power_drill,n4_scene0040
同物過切,0.75,59.4,1.0,power_drill,power_drill,n4_scene0040
並排有縫,0.736842105263158,124.0,1.0,cups,power_drill,n4_scene0040
同物過切,0.8787878787878788,32.3,1.0,power_drill,power_drill,n4_scene0040
同物過切,0.8787878787878788,39.6,1.0,power_drill,power_drill,n4_scene0040
同物過切,0.7857142857142857,5.8,1.0,power_drill,power_drill,n4_scene0040
並排有縫,0.9436619718309859,131.1,1.0,cups,power_drill,n4_scene0040
同物過切,0.8674698795180723,11.4,0.2,tomato_soup_can,tomato_soup_can,n4_scene0041
同物過切,0.4736842105263158,5.7,0.33,potted_meat_can,potted_meat_can,n4_scene0043
同物過切,0.10526315789473684,9.7,1.0,orange,orange,n4_scene0043
同物過切,0.7380952380952381,10.9,0.29,sugar_box,sugar_box,n4_scene0043
同物過切,0.10526315789473684,6.0,0.33,potted_meat_can,potted_meat_can,n4_scene0043
並排有縫,0.15000000000000002,158.2,0.93,orange,potted_meat_can,n4_scene0043
並排有縫,0.7297297297297297,170.8,0.57,mug,padlock,n4_scene0044
並排有縫,0.1071428571428571,70.9,0.0,cups,cracker_box,n4_scene0046
並排有縫,0.9285714285714286,90.1,0.2,cracker_box,cups,n4_scene0046
同物過切,0.4639175257731959,5.2,1.0,nine_hole_peg_test,nine_hole_peg_test,n4_scene0046
並排有縫,0.9285714285714286,106.6,0.85,cups,cracker_box,n4_scene0046
並排有縫,0.9523809523809523,90.1,1.0,cracker_box,cups,n4_scene0046
同物過切,0.9,2.3,0.82,cracker_box,cracker_box,n4_scene0046
同物過切,0.6521739130434783,7.7,0.96,cracker_box,cracker_box,n4_scene0046
同物過切,0.65234375,5.2,0.14,nine_hole_peg_test,nine_hole_peg_test,n4_scene0046
同物過切,0.27586206896551724,52.3,1.0,mustard_bottle,mustard_bottle,n4_scene0046
並排有縫,0.5800000000000001,161.3,0.0,mustard_bottle,cracker_box,n4_scene0046
同物過切,0.8876404494382022,32.5,1.0,nine_hole_peg_test,nine_hole_peg_test,n4_scene0046
並排有縫,0.08695652173913049,197.6,0.97,mustard_bottle,cracker_box,n4_scene0046
並排有縫,0.47959183673469385,32.3,1.0,cups,cups,n4_scene0047
同物過切,0.65625,6.1,0.62,cups,cups,n4_scene0048
並排有縫,0.9636363636363636,218.0,0.0,cups,cracker_box,n4_scene0049
並排有縫,0.6527777777777778,159.3,1.0,cracker_box,tuna_fish_can,n4_scene0049
並排有縫,0.9310344827586207,173.2,0.0,cracker_box,tuna_fish_can,n4_scene0049
同物過切,0.6875,6.2,0.33,tuna_fish_can,tuna_fish_can,n4_scene0049
並排有縫,0.92,159.3,0.0,cracker_box,tuna_fish_can,n4_scene0049
同物過切,0.7407407407407407,9.0,0.92,cracker_box,cracker_box,n4_scene0049
並排有縫,0.9625,173.2,1.0,cracker_box,tuna_fish_can,n4_scene0049
並排有縫,0.375,100.2,1.0,cups,tuna_fish_can,n4_scene0049
同物過切,0.0714285714285714,2.7,0.86,racquetball,racquetball,n4_scene0051
並排有縫,0.7671232876712328,125.2,1.0,cups,bowl,n4_scene0051
同物過切,0.2571428571428571,1.6,0.5,knife,knife,n4_scene0052
同物過切,0.9733727810650887,23.0,1.0,pitcher_base,pitcher_base,n4_scene0052
並排有縫,0.9090909090909091,82.4,1.0,power_drill,sugar_box,n4_scene0053
並排有縫,0.17142857142857137,76.2,1.0,power_drill,sugar_box,n4_scene0053
同物過切,0.8292682926829268,7.9,0.36,sugar_box,sugar_box,n4_scene0053
並排有縫,0.29268292682926833,237.2,0.0,sugar_box,apple,n4_scene0053
並排有縫,0.8292682926829268,116.3,0.0,power_drill,sugar_box,n4_scene0053
並排有縫,0.5,104.3,0.0,power_drill,sugar_box,n4_scene0053
並排有縫,0.14634146341463417,158.4,0.0,power_drill,sugar_box,n4_scene0053
同物過切,0.6341463414634146,16.2,0.0,sugar_box,sugar_box,n4_scene0053
並排有縫,0.6,82.4,0.22,power_drill,sugar_box,n4_scene0053
並排有縫,0.5714285714285714,177.9,0.0,power_drill,sugar_box,n4_scene0053
同物過切,0.9512195121951219,4.5,0.0,sugar_box,sugar_box,n4_scene0053
並排有縫,0.14634146341463417,270.5,0.0,sugar_box,potted_meat_can,n4_scene0053
同物過切,0.6818181818181819,36.6,1.0,power_drill,power_drill,n4_scene0053
同物過切,0.31818181818181823,12.0,0.0,sugar_box,sugar_box,n4_scene0053
同物過切,0.7142857142857143,11.9,0.57,sugar_box,sugar_box,n4_scene0053
