scene,view,objA,objB,same,boundary_jump_mm,boundary_rel,region_diff_mm,region_rel,tall
stack5_scene0001,view_el45_az135,cracker_box,master_chef_can,0,105.9,1.32,157.4,2.46,1
stack5_scene0001,view_el45_az135,cracker_box,master_chef_can,0,130.5,1.89,191.5,3.03,1
stack5_scene0001,view_el45_az135,cracker_box,master_chef_can,0,134.9,1.93,144.6,3.07,1
stack5_scene0001,view_el45_az135,cracker_box,cracker_box,1,6.0,0.32,60.0,1.48,1
stack5_scene0001,view_el45_az135,cracker_box,master_chef_can,0,1.0,0.08,93.5,2.33,1
stack5_scene0001,view_el45_az135,cracker_box,master_chef_can,0,1.0,0.08,107.7,2.46,1
stack5_scene0001,view_el45_az135,cracker_box,cracker_box,1,0.0,0.0,48.5,0.6,1
stack5_scene0001,view_el45_az135,flat_screwdriver,flat_screwdriver,1,7.5,2.49,61.5,1.96,1
stack5_scene0001,view_el45_az135,master_chef_can,master_chef_can,1,6.0,1.0,23.9,0.68,1
stack5_scene0001,view_el45_az225,master_chef_can,flat_screwdriver,0,208.4,28.61,221.6,6.32,1
stack5_scene0001,view_el45_az225,master_chef_can,flat_screwdriver,0,208.4,69.05,220.1,6.57,1
stack5_scene0001,view_el45_az225,master_chef_can,master_chef_can,1,0.4,0.01,30.1,0.65,1
stack5_scene0001,view_el45_az225,master_chef_can,flat_screwdriver,0,208.4,28.6,237.8,8.25,1
stack5_scene0001,view_el45_az225,cracker_box,cracker_box,1,4.3,0.14,8.2,0.18,1
stack5_scene0001,view_el45_az225,cracker_box,cracker_box,1,3.5,0.67,1.0,0.03,1
stack5_scene0001,view_el45_az225,flat_screwdriver,flat_screwdriver,1,9.6,2.7,-1,-1,1
stack5_scene0001,view_el45_az225,cracker_box,cracker_box,1,6.0,1.41,26.6,1.51,1
stack5_scene0001,view_el45_az225,cracker_box,cracker_box,1,6.0,1.26,35.4,1.5,1
stack5_scene0001,view_el60_az180,master_chef_can,master_chef_can,1,114.0,6.72,-1,-1,1
stack5_scene0001,view_el60_az180,master_chef_can,master_chef_can,1,6.8,0.49,41.8,0.97,1
stack5_scene0001,view_el60_az180,master_chef_can,master_chef_can,1,36.6,1.62,-1,-1,1
stack5_scene0001,view_el60_az180,cracker_box,cracker_box,1,4.3,0.1,29.2,0.51,1
stack5_scene0001,view_el60_az195,cracker_box,cracker_box,1,85.5,0.52,102.9,0.55,1
stack5_scene0001,view_el60_az195,cracker_box,cracker_box,1,16.5,0.13,-1,-1,1
stack5_scene0001,view_el60_az195,cracker_box,flat_screwdriver,0,278.2,8.15,217.6,3.74,1
stack5_scene0001,view_el60_az195,cracker_box,apple,0,3.6,0.03,170.7,3.13,1
stack5_scene0001,view_el60_az195,cracker_box,flat_screwdriver,0,8.0,0.16,211.9,1.11,1
stack5_scene0001,view_el60_az195,cracker_box,apple,0,5.7,0.05,157.7,2.84,1
stack5_scene0001,view_el60_az195,cracker_box,flat_screwdriver,0,7.4,0.16,213.7,1.14,1
stack5_scene0001,view_el60_az195,cracker_box,apple,0,0.5,0.0,153.8,2.76,1
stack5_scene0001,view_el60_az195,master_chef_can,master_chef_can,1,4.3,0.33,41.2,0.95,1
stack5_scene0001,view_el60_az195,cracker_box,cracker_box,1,5.0,0.13,25.2,0.46,1
stack5_scene0001,view_el60_az255,master_chef_can,master_chef_can,1,91.5,5.69,-1,-1,1
stack5_scene0001,view_el60_az255,master_chef_can,master_chef_can,1,7.7,0.22,43.2,0.9,1
stack5_scene0001,view_el60_az255,master_chef_can,master_chef_can,1,3.1,0.46,-1,-1,1
stack5_scene0001,view_el60_az255,cracker_box,cracker_box,1,4.3,0.82,37.4,2.12,1
stack5_scene0001,view_el60_az255,cracker_box,cracker_box,1,6.9,1.63,40.3,1.81,1
stack5_scene0001,view_el75_az105,cracker_box,master_chef_can,0,119.6,1.47,116.4,2.36,1
stack5_scene0001,view_el75_az105,cracker_box,master_chef_can,0,119.6,1.48,148.7,2.82,1
stack5_scene0001,view_el75_az105,master_chef_can,master_chef_can,1,59.7,2.18,-1,-1,1
stack5_scene0001,view_el75_az105,master_chef_can,master_chef_can,1,4.6,0.58,40.4,1.08,1
stack5_scene0001,view_el75_az105,flat_screwdriver,flat_screwdriver,1,8.3,0.89,-1,-1,1
stack5_scene0001,view_el75_az105,flat_screwdriver,flat_screwdriver,1,9.0,1.3,-1,-1,1
stack5_scene0001,view_el75_az105,flat_screwdriver,flat_screwdriver,1,0.3,0.11,4.9,0.51,1
stack5_scene0001,view_el75_az225,cracker_box,apple,0,14.7,0.9,177.9,4.77,1
stack5_scene0001,view_el75_az225,cracker_box,apple,0,4.4,0.29,188.2,3.52,1
stack5_scene0001,view_el75_az225,master_chef_can,master_chef_can,1,70.1,1.54,-1,-1,1
stack5_scene0001,view_el75_az225,master_chef_can,master_chef_can,1,11.1,0.84,58.4,1.47,1
stack5_scene0001,view_el75_az225,apple,apple,1,1.7,0.24,19.6,1.29,0
stack5_scene0001,view_el75_az225,flat_screwdriver,flat_screwdriver,1,0.9,1.0,2.1,0.31,1
stack5_scene0001,view_el90,master_chef_can,master_chef_can,1,35.0,0.7,-1,-1,1
stack5_scene0001,view_el90,master_chef_can,master_chef_can,1,5.0,0.4,60.1,1.85,1
stack5_scene0001,view_el90,apple,apple,1,30.0,4.0,-1,-1,0
stack5_scene0001,view_el90,apple,apple,1,5.0,1.0,20.0,1.6,0
stack5_scene0001,view_el90,flat_screwdriver,flat_screwdriver,1,5.0,0.67,5.1,0.67,1
stack5_scene0001,view_el90,flat_screwdriver,flat_screwdriver,1,5.0,2.0,15.1,2.01,1
stack3_scene0005,view_el30_az135,foam_brick,foam_brick,1,1.1,0.05,-1,-1,0
stack3_scene0005,view_el30_az135,foam_brick,gelatin_box,0,0.6,0.02,12.5,0.57,0
stack3_scene0005,view_el30_az195,foam_brick,gelatin_box,0,2.0,0.17,11.4,0.86,0
stack3_scene0005,view_el30_az210,foam_brick,foam_brick,1,2.6,0.13,-1,-1,0
stack3_scene0005,view_el30_az210,foam_brick,gelatin_box,0,1.3,0.06,14.1,0.79,0
stack3_scene0005,view_el30_az210,racquetball,racquetball,1,9.9,0.99,7.2,0.45,0
stack3_scene0005,view_el30_az240,foam_brick,gelatin_box,0,2.5,0.16,19.9,0.83,0
stack3_scene0005,view_el30_az240,racquetball,racquetball,1,1.6,0.08,0.5,0.02,0
stack3_scene0005,view_el45_az135,foam_brick,gelatin_box,0,4.6,0.29,23.4,1.22,0
stack3_scene0005,view_el45_az225,foam_brick,foam_brick,1,0.4,0.02,-1,-1,0
stack3_scene0005,view_el45_az225,foam_brick,gelatin_box,0,6.0,0.36,28.3,1.45,0
stack3_scene0005,view_el45_az225,racquetball,racquetball,1,1.5,0.11,6.7,0.44,0
stack3_scene0005,view_el60_az180,foam_brick,gelatin_box,0,8.7,0.64,32.1,1.82,0
stack3_scene0005,view_el60_az180,foam_brick,gelatin_box,0,6.2,0.45,32.0,1.82,0
stack3_scene0005,view_el60_az195,foam_brick,gelatin_box,0,6.0,0.6,31.9,1.87,0
stack3_scene0005,view_el60_az255,foam_brick,gelatin_box,0,54.5,2.83,-1,-1,0
stack3_scene0005,view_el60_az255,foam_brick,gelatin_box,0,24.0,1.11,34.6,1.69,0
stack3_scene0005,view_el60_az255,gelatin_box,foam_brick,0,22.0,1.05,31.6,2.02,0
stack3_scene0005,view_el75_az105,foam_brick,gelatin_box,0,37.6,1.76,45.2,2.11,0
stack3_scene0005,view_el75_az225,foam_brick,foam_brick,1,17.9,0.62,-1,-1,0
stack3_scene0005,view_el75_az225,foam_brick,gelatin_box,0,59.5,4.9,-1,-1,0
stack3_scene0005,view_el75_az225,foam_brick,gelatin_box,0,35.6,1.82,45.8,2.87,0
stack3_scene0005,view_el90,foam_brick,foam_brick,1,0.0,0.0,-1,-1,0
