scene,i,j,class,plane_med,plane_min,kink_deg,zov,conn,objA,objB
n3_scene0012,1,2,同物過切,12.8,6.8,0.1,1.0,1,scissors,scissors
n3_scene0013,4,5,同物過切,11.8,9.6,0.0,0.4,1,tuna_fish_can,tuna_fish_can
n3_scene0015,3,7,同物過切,7.2,4.0,0.1,0.2,1,potted_meat_can,potted_meat_can
n3_scene0015,1,8,同物過切,12.8,12.8,0.1,1.0,1,cups,cups
n3_scene0015,6,9,同物過切,17.3,15.7,0.0,1.0,1,orange,orange
n3_scene0016,1,2,同物過切,15.5,8.8,0.0,1.0,1,mug,mug
n3_scene0016,5,6,並排有縫,299.9,299.9,0.0,0.0,0,bleach_cleanser,pear
n3_scene0016,3,6,並排有縫,218.4,134.8,0.2,1.0,0,bleach_cleanser,pear
n3_scene0016,1,3,並排有縫,151.2,151.2,0.0,1.0,0,mug,bleach_cleanser
n3_scene0016,3,5,同物過切,17.7,4.2,0.0,0.44,1,bleach_cleanser,bleach_cleanser
n3_scene0023,5,6,同物過切,9.9,9.9,0.0,1.0,1,mustard_bottle,mustard_bottle
n3_scene0024,3,4,同物過切,5.4,5.4,0.0,1.0,1,tennis_ball,tennis_ball
n3_scene0027,1,3,並排有縫,128.7,128.7,0.1,1.0,0,pudding_box,cups
n3_scene0028,3,4,並排有縫,123.8,116.5,0.1,1.0,0,master_chef_can,cracker_box
n3_scene0028,4,9,同物過切,0.9,0.9,0.1,0.96,1,cracker_box,cracker_box
n3_scene0028,3,7,並排有縫,95.2,94.0,0.1,0.83,0,master_chef_can,cracker_box
n3_scene0028,5,13,並排有縫,184.1,184.1,0.1,1.0,0,cracker_box,bleach_cleanser
n3_scene0028,8,12,並排有縫,172.5,172.5,0.0,1.0,0,bleach_cleanser,master_chef_can
n3_scene0028,2,5,並排有縫,155.8,133.2,0.0,0.57,0,bleach_cleanser,cracker_box
n3_scene0028,1,3,同物過切,10.0,7.8,0.1,0.17,1,master_chef_can,master_chef_can
n3_scene0028,2,11,同物過切,15.6,15.6,0.2,0.0,0,bleach_cleanser,bleach_cleanser
n3_scene0028,2,8,同物過切,21.1,2.2,0.0,0.43,1,bleach_cleanser,bleach_cleanser
n3_scene0028,4,8,並排有縫,119.4,112.8,0.0,1.0,0,cracker_box,bleach_cleanser
n3_scene0028,8,11,同物過切,10.7,10.7,0.1,1.0,1,bleach_cleanser,bleach_cleanser
n3_scene0028,1,5,並排有縫,33.5,33.5,0.0,1.0,0,master_chef_can,cracker_box
n3_scene0028,2,10,同物過切,10.0,0.3,0.0,0.25,1,bleach_cleanser,bleach_cleanser
n3_scene0028,1,8,並排有縫,154.1,146.0,0.0,0.96,0,master_chef_can,bleach_cleanser
n3_scene0028,3,5,並排有縫,121.3,108.6,0.1,1.0,0,master_chef_can,cracker_box
n3_scene0028,3,8,並排有縫,136.0,127.3,0.1,1.0,0,master_chef_can,bleach_cleanser
n3_scene0028,5,11,並排有縫,177.8,177.8,0.1,1.0,0,cracker_box,bleach_cleanser
n3_scene0028,5,8,並排有縫,145.2,113.3,0.0,1.0,0,cracker_box,bleach_cleanser
n3_scene0029,1,2,同物過切,1.2,1.2,0.1,1.0,1,rubiks_cube,rubiks_cube
n3_scene0030,3,8,並排有縫,84.5,84.5,0.1,0.11,0,apple,cups
n3_scene0030,1,4,同物過切,5.9,5.9,0.0,1.0,1,power_drill,power_drill
n3_scene0030,6,7,並排有縫,67.8,64.5,0.0,1.0,0,cups,apple
n3_scene0030,7,8,並排有縫,68.9,68.9,0.0,0.67,0,apple,cups
n3_scene0031,1,3,同物過切,2.8,0.7,0.0,0.67,1,knife,knife
n3_scene0032,2,4,同物過切,8.1,8.1,0.1,0.25,1,tomato_soup_can,tomato_soup_can
n3_scene0032,3,4,並排有縫,140.6,140.6,0.0,1.0,0,adjustable_wrench,tomato_soup_can
n3_scene0032,1,5,並排有縫,96.0,96.0,0.1,1.0,0,tomato_soup_can,bowl
n3_scene0032,2,3,並排有縫,136.0,115.2,0.0,0.0,0,tomato_soup_can,adjustable_wrench
n3_scene0033,2,4,同物過切,6.6,5.7,0.1,0.71,1,wood_block,wood_block
n3_scene0033,1,2,同物過切,4.7,4.0,0.1,0.57,1,wood_block,wood_block
n3_scene0033,1,4,同物過切,3.4,3.3,0.1,1.0,1,wood_block,wood_block
n3_scene0033,2,5,並排有縫,61.2,61.2,0.5,0.0,0,wood_block,foam_brick
n3_scene0033,3,5,並排有縫,153.4,149.3,0.0,1.0,0,lemon,foam_brick
n3_scene0034,12,13,同物過切,45.7,45.7,0.1,1.0,0,pitcher_base,pitcher_base
n3_scene0034,12,15,同物過切,38.7,0.3,0.1,1.0,1,pitcher_base,pitcher_base
n3_scene0034,11,13,並排有縫,187.3,187.3,0.0,0.0,0,cups,pitcher_base
n3_scene0034,11,12,並排有縫,179.6,179.6,0.0,1.0,0,cups,pitcher_base
n3_scene0034,11,15,並排有縫,181.0,181.0,0.0,0.0,0,cups,pitcher_base
n3_scene0034,13,15,同物過切,29.1,29.1,0.1,1.0,1,pitcher_base,pitcher_base
n3_scene0036,1,2,同物過切,1.2,0.7,0.0,1.0,0,fork,fork
n3_scene0036,3,5,同物過切,1.4,1.4,0.0,1.0,1,large_clamp,large_clamp
n3_scene0037,2,4,並排有縫,264.5,264.5,0.1,0.0,0,sugar_box,nine_hole_peg_test
n3_scene0037,3,8,並排有縫,241.4,241.4,0.0,1.0,0,sugar_box,nine_hole_peg_test
n3_scene0037,3,4,並排有縫,264.7,264.7,0.1,1.0,0,sugar_box,nine_hole_peg_test
n3_scene0037,2,3,同物過切,21.1,9.5,0.0,0.07,1,sugar_box,sugar_box
n3_scene0037,5,6,同物過切,2.8,2.8,0.1,0.2,1,potted_meat_can,potted_meat_can
n3_scene0037,4,8,同物過切,7.3,3.5,0.1,1.0,1,nine_hole_peg_test,nine_hole_peg_test
n3_scene0037,6,10,同物過切,4.3,3.2,0.1,0.2,1,potted_meat_can,potted_meat_can
n3_scene0037,1,3,同物過切,7.2,5.6,0.0,0.85,1,sugar_box,sugar_box
n3_scene0037,2,8,並排有縫,243.1,243.1,0.0,0.0,0,sugar_box,nine_hole_peg_test
n3_scene0039,2,3,同物過切,10.8,6.8,0.0,1.0,1,tuna_fish_can,tuna_fish_can
n3_scene0040,1,3,同物過切,7.1,3.1,0.0,1.0,1,orange,orange
n3_scene0040,7,8,同物過切,16.0,2.1,0.2,0.71,1,mug,mug
n3_scene0041,1,2,同物過切,6.2,5.9,0.1,1.0,1,cups,cups
n3_scene0041,3,7,同物過切,8.4,8.4,0.1,0.5,1,cups,cups
n3_scene0041,4,6,同物過切,12.3,10.8,0.1,1.0,1,scissors,scissors
n3_scene0041,1,4,並排有縫,168.2,168.2,0.0,0.0,0,cups,scissors
n3_scene0041,5,6,同物過切,11.0,8.7,0.0,1.0,0,scissors,scissors
n3_scene0044,3,4,同物過切,35.0,0.6,0.1,0.5,1,wood_block,wood_block
n3_scene0045,2,3,並排有縫,98.8,95.3,0.0,1.0,0,cups,mustard_bottle
n3_scene0045,2,4,並排有縫,112.3,97.5,0.1,0.0,0,cups,mustard_bottle
n3_scene0046,3,4,並排有縫,131.7,131.7,0.0,0.0,0,baseball,cracker_box
n3_scene0046,6,7,同物過切,9.2,9.2,0.1,1.0,1,cracker_box,cracker_box
n3_scene0046,3,5,並排有縫,131.7,131.7,0.0,1.0,0,baseball,cracker_box
n3_scene0047,1,3,同物過切,23.1,23.1,0.1,1.0,1,cups,cups
n3_scene0047,1,2,並排有縫,37.7,37.7,0.1,1.0,0,cups,cups
n3_scene0048,1,2,同物過切,10.2,6.1,0.0,1.0,1,scissors,scissors
n3_scene0048,4,6,並排有縫,223.1,223.1,0.0,0.0,0,cups,orange
n3_scene0048,4,5,並排有縫,223.1,223.1,0.0,0.6,0,cups,orange
n3_scene0051,2,4,並排有縫,154.4,149.4,0.0,1.0,0,mug,rubiks_cube
n3_scene0051,1,3,同物過切,3.0,0.4,0.0,0.67,1,knife,knife
n3_scene0052,5,6,同物過切,9.0,5.9,0.1,0.2,1,potted_meat_can,potted_meat_can
n3_scene0053,2,4,並排有縫,122.1,112.7,0.0,0.0,0,master_chef_can,gelatin_box
n3_scene0053,1,2,同物過切,14.9,4.8,0.1,0.0,1,master_chef_can,master_chef_can
n3_scene0053,2,7,並排有縫,137.2,136.2,0.1,0.0,0,master_chef_can,nine_hole_peg_test
n3_scene0053,1,5,並排有縫,157.8,157.5,0.1,1.0,0,master_chef_can,nine_hole_peg_test
n3_scene0053,1,4,並排有縫,126.0,119.5,0.0,1.0,0,master_chef_can,gelatin_box
n3_scene0053,5,7,同物過切,8.8,2.0,0.1,1.0,1,nine_hole_peg_test,nine_hole_peg_test
n3_scene0053,6,7,並排有縫,138.8,138.8,0.0,0.0,0,master_chef_can,nine_hole_peg_test
n3_scene0053,1,7,並排有縫,142.7,142.7,0.0,1.0,0,master_chef_can,nine_hole_peg_test
n3_scene0053,2,5,並排有縫,114.0,113.1,0.0,0.0,0,master_chef_can,nine_hole_peg_test
n3_scene0053,3,5,並排有縫,135.9,135.9,0.0,0.31,0,master_chef_can,nine_hole_peg_test
n3_scene0054,1,6,同物過切,106.6,106.6,0.2,1.0,1,power_drill,power_drill
n3_scene0054,2,5,同物過切,6.2,6.2,0.0,1.0,1,apple,apple
n3_scene0055,4,5,同物過切,2.8,2.8,0.0,0.43,1,tomato_soup_can,tomato_soup_can
n3_scene0056,2,3,同物過切,1.4,0.1,0.0,1.0,1,fork,fork
n3_scene0058,2,4,同物過切,43.1,43.1,0.0,0.88,1,pitcher_base,pitcher_base
n3_scene0058,3,4,並排有縫,221.6,221.6,0.0,1.0,0,bleach_cleanser,pitcher_base
n3_scene0058,2,7,並排有縫,224.7,224.7,0.0,0.92,0,pitcher_base,bleach_cleanser
n3_scene0058,1,5,同物過切,18.2,18.2,0.0,0.0,0,bleach_cleanser,bleach_cleanser
n3_scene0058,3,7,同物過切,26.8,26.8,0.2,0.67,1,bleach_cleanser,bleach_cleanser
n3_scene0058,2,3,並排有縫,220.1,220.1,0.0,0.88,0,pitcher_base,bleach_cleanser
n3_scene0058,4,8,並排有縫,221.4,1.0,0.3,1.0,0,pitcher_base,cups
n3_scene0058,4,7,並排有縫,198.9,171.9,0.0,0.67,0,pitcher_base,bleach_cleanser
n3_scene0059,1,2,同物過切,1.1,0.6,0.0,0.08,1,sugar_box,sugar_box
n3_scene0059,3,4,同物過切,3.1,3.1,0.0,0.15,1,sugar_box,sugar_box
n3_scene0059,1,4,同物過切,26.9,26.9,0.0,0.0,0,sugar_box,sugar_box
n3_scene0059,2,5,同物過切,16.9,16.9,0.0,0.0,0,sugar_box,sugar_box
n3_scene0059,1,3,同物過切,0.5,0.5,0.0,0.38,0,sugar_box,sugar_box
n3_scene0060,3,4,同物過切,13.4,12.6,0.0,0.33,1,tuna_fish_can,tuna_fish_can
n3_scene0061,2,3,並排有縫,151.8,142.9,0.0,1.0,0,bowl,lemon
n3_scene0061,1,2,並排有縫,110.7,110.7,0.0,1.0,0,cups,bowl
n4_scene0001,1,2,並排有縫,82.8,82.8,0.0,1.0,0,cups,large_marker
n4_scene0001,5,8,並排有縫,242.6,242.6,0.0,0.0,0,cracker_box,orange
n4_scene0001,3,7,同物過切,8.0,8.0,0.1,0.88,1,cracker_box,cracker_box
n4_scene0001,6,8,並排有縫,242.6,242.6,0.0,1.0,0,cracker_box,orange
n4_scene0001,7,8,並排有縫,243.3,243.3,0.0,0.8,0,cracker_box,orange
n4_scene0002,2,7,並排有縫,186.6,176.9,0.0,1.0,0,cups,nine_hole_peg_test
n4_scene0002,5,7,同物過切,12.9,10.1,0.1,1.0,1,nine_hole_peg_test,nine_hole_peg_test
n4_scene0002,5,6,並排有縫,121.3,86.3,0.1,1.0,0,nine_hole_peg_test,master_chef_can
n4_scene0002,3,6,同物過切,12.5,8.3,0.1,0.5,1,master_chef_can,master_chef_can
n4_scene0002,2,5,並排有縫,171.2,171.2,0.0,1.0,0,cups,nine_hole_peg_test
n4_scene0003,1,4,同物過切,2.2,1.8,0.0,1.0,1,phillips_screwdriver,phillips_screwdriver
n4_scene0004,1,6,同物過切,14.4,11.3,0.0,0.92,1,apple,apple
n4_scene0004,1,3,並排有縫,62.2,61.6,0.0,1.0,0,apple,tomato_soup_can
n4_scene0004,3,5,並排有縫,241.1,241.1,0.1,1.0,0,tomato_soup_can,large_clamp
n4_scene0006,4,5,同物過切,1.9,1.5,0.0,1.0,0,fork,fork
n4_scene0007,1,2,同物過切,16.9,16.9,0.1,0.8,1,cups,cups
n4_scene0007,4,9,同物過切,2.3,0.9,0.0,0.67,1,knife,knife
n4_scene0007,6,8,同物過切,23.7,23.7,0.1,1.0,1,power_drill,power_drill
n4_scene0007,8,10,同物過切,112.5,96.8,0.0,1.0,1,power_drill,power_drill
n4_scene0007,3,10,同物過切,137.3,137.3,0.0,1.0,0,power_drill,power_drill
n4_scene0007,5,7,同物過切,13.8,13.8,0.0,1.0,1,extra_large_clamp,extra_large_clamp
n4_scene0007,6,10,同物過切,1.7,0.6,0.0,1.0,0,power_drill,power_drill
n4_scene0008,3,8,並排有縫,119.8,109.9,0.1,1.0,0,cups,tuna_fish_can
n4_scene0008,3,7,並排有縫,139.3,139.3,0.0,1.0,0,cups,potted_meat_can
n4_scene0008,6,8,同物過切,5.3,5.3,0.1,0.67,1,tuna_fish_can,tuna_fish_can
n4_scene0008,5,7,同物過切,6.2,3.7,0.1,0.0,1,potted_meat_can,potted_meat_can
n4_scene0008,3,6,並排有縫,110.4,106.9,0.0,1.0,0,cups,tuna_fish_can
n4_scene0008,1,3,同物過切,21.2,21.2,0.1,1.0,1,cups,cups
n4_scene0009,2,7,並排有縫,160.0,160.0,0.0,1.0,0,mug,mini_soccer_ball
n4_scene0009,1,5,並排有縫,140.1,140.1,0.1,1.0,0,cups,mug
n4_scene0009,1,4,同物過切,4.7,0.6,0.1,0.57,1,cups,cups
n4_scene0009,2,6,並排有縫,152.0,152.0,0.0,1.0,0,mug,mini_soccer_ball
n4_scene0009,2,5,同物過切,1.6,0.5,0.0,0.14,1,mug,mug
n4_scene0011,1,2,同物過切,6.0,5.2,0.0,1.0,1,scissors,scissors
n4_scene0011,5,7,並排有縫,177.1,145.6,0.1,1.0,0,bleach_cleanser,bowl
n4_scene0011,4,5,同物過切,0.5,0.5,0.1,0.91,1,bleach_cleanser,bleach_cleanser
n4_scene0011,4,8,同物過切,7.3,0.8,0.0,0.25,1,bleach_cleanser,bleach_cleanser
n4_scene0011,1,10,同物過切,4.7,0.8,0.0,1.0,1,scissors,scissors
n4_scene0011,7,8,並排有縫,233.2,233.2,0.1,0.0,0,bowl,bleach_cleanser
n4_scene0011,3,5,並排有縫,157.3,157.3,0.0,1.0,0,cups,bleach_cleanser
n4_scene0012,1,5,同物過切,1.5,1.5,0.0,1.0,1,pitcher_base,pitcher_base
n4_scene0012,3,10,同物過切,3.1,3.1,0.1,1.0,1,rubiks_cube,rubiks_cube
n4_scene0012,1,4,同物過切,1.5,1.5,0.0,1.0,1,pitcher_base,pitcher_base
n4_scene0012,1,6,同物過切,17.3,0.6,0.0,1.0,0,pitcher_base,pitcher_base
n4_scene0012,1,3,並排有縫,88.5,88.5,1.4,1.0,0,pitcher_base,rubiks_cube
n4_scene0013,3,4,同物過切,18.1,7.2,0.1,0.07,1,sugar_box,sugar_box
n4_scene0013,2,7,同物過切,10.8,2.6,0.1,0.4,1,wood_block,wood_block
n4_scene0013,3,7,並排有縫,271.1,271.1,0.0,1.0,0,sugar_box,wood_block
n4_scene0013,1,4,並排有縫,276.6,272.4,0.0,1.0,0,wood_block,sugar_box
n4_scene0013,7,9,並排有縫,275.0,275.0,0.0,1.0,0,wood_block,sugar_box
n4_scene0013,4,5,同物過切,10.2,10.2,0.1,0.07,1,sugar_box,sugar_box
n4_scene0013,7,8,並排有縫,143.9,143.9,0.0,1.0,0,wood_block,baseball
n4_scene0013,1,3,並排有縫,281.5,281.5,0.0,1.0,0,wood_block,sugar_box
n4_scene0013,1,9,並排有縫,288.0,288.0,0.1,1.0,0,wood_block,sugar_box
n4_scene0014,2,4,同物過切,0.6,0.6,0.1,0.83,1,cups,cups
n4_scene0014,5,7,並排有縫,55.3,55.3,0.0,1.0,0,cups,padlock
n4_scene0014,4,5,同物過切,15.9,15.9,0.1,0.17,0,cups,cups
n4_scene0014,3,6,並排有縫,121.2,121.0,0.1,0.67,0,cups,tennis_ball
n4_scene0014,1,3,同物過切,5.3,4.3,0.1,0.89,1,cups,cups
n4_scene0016,2,3,同物過切,9.1,5.0,0.0,1.0,1,scissors,scissors
n4_scene0017,2,3,並排有縫,91.9,91.9,0.0,1.0,0,cups,cups
n4_scene0017,3,6,同物過切,1.4,0.6,0.1,0.67,1,cups,cups
n4_scene0017,2,5,同物過切,3.7,0.3,0.1,0.43,1,cups,cups
n4_scene0017,4,7,同物過切,8.2,7.7,0.1,1.0,1,potted_meat_can,potted_meat_can
n4_scene0017,3,5,並排有縫,77.4,69.1,0.1,0.86,0,cups,cups
n4_scene0018,1,3,並排有縫,142.6,140.8,0.1,1.0,0,softball,sponge
n4_scene0019,2,3,並排有縫,113.5,34.0,0.2,1.0,0,pitcher_base,lemon
n4_scene0019,2,5,同物過切,15.7,8.7,0.1,1.0,1,pitcher_base,pitcher_base
n4_scene0019,3,5,並排有縫,157.8,157.8,0.0,0.0,0,lemon,pitcher_base
n4_scene0020,3,8,並排有縫,65.5,65.5,0.0,1.0,0,apple,tuna_fish_can
n4_scene0020,3,4,並排有縫,66.7,58.9,0.0,1.0,0,apple,tuna_fish_can
n4_scene0020,4,8,同物過切,8.9,8.9,0.0,0.6,1,tuna_fish_can,tuna_fish_can
n4_scene0021,2,7,同物過切,20.7,4.5,0.1,0.89,1,bowl,bowl
n4_scene0022,4,6,同物過切,72.6,72.6,0.1,1.0,1,power_drill,power_drill
n4_scene0022,1,4,同物過切,5.1,4.7,0.0,1.0,1,power_drill,power_drill
n4_scene0024,5,6,並排有縫,154.4,146.3,0.0,1.0,0,mustard_bottle,cups
n4_scene0024,3,6,並排有縫,165.2,165.2,0.0,0.0,0,mustard_bottle,cups
n4_scene0024,2,5,同物過切,34.2,34.2,0.1,1.0,1,mustard_bottle,mustard_bottle
n4_scene0024,3,5,同物過切,31.3,31.3,0.0,0.29,1,mustard_bottle,mustard_bottle
n4_scene0025,6,12,並排有縫,94.2,94.2,0.7,0.0,0,cracker_box,spoon
n4_scene0025,5,10,同物過切,1.4,1.4,0.1,0.79,1,cracker_box,cracker_box
n4_scene0025,5,16,同物過切,2.2,2.1,0.0,0.77,0,cracker_box,cracker_box
n4_scene0025,1,6,並排有縫,264.5,264.5,0.0,1.0,0,sugar_box,cracker_box
n4_scene0025,2,17,同物過切,25.0,25.0,0.0,0.0,0,sugar_box,sugar_box
n4_scene0025,7,13,並排有縫,305.0,305.0,0.1,1.0,0,cracker_box,spoon
n4_scene0025,3,9,同物過切,1.5,1.4,0.0,0.0,1,cracker_box,cracker_box
n4_scene0025,1,2,同物過切,1.9,0.8,0.0,0.0,0,sugar_box,sugar_box
n4_scene0025,10,11,同物過切,17.0,17.0,0.0,0.0,0,cracker_box,cracker_box
n4_scene0025,1,5,並排有縫,283.7,283.7,0.1,0.67,0,sugar_box,cracker_box
n4_scene0025,15,16,同物過切,0.4,0.1,0.0,0.4,0,cracker_box,cracker_box
n4_scene0025,1,17,同物過切,3.8,3.8,0.1,0.8,1,sugar_box,sugar_box
n4_scene0025,6,13,並排有縫,305.0,305.0,0.1,0.0,0,cracker_box,spoon
n4_scene0025,7,12,並排有縫,94.2,94.2,0.7,1.0,0,cracker_box,spoon
n4_scene0025,5,11,同物過切,2.2,2.2,0.1,1.0,0,cracker_box,cracker_box
n4_scene0025,1,4,同物過切,17.3,8.4,0.0,0.13,1,sugar_box,sugar_box
n4_scene0025,1,7,並排有縫,264.5,264.5,0.0,0.27,0,sugar_box,cracker_box
n4_scene0027,1,4,並排有縫,307.3,307.3,0.0,1.0,0,wood_block,tennis_ball
n4_scene0027,2,3,並排有縫,245.0,245.0,0.0,0.0,0,wood_block,pear
n4_scene0027,4,5,並排有縫,290.3,290.3,0.0,1.0,0,tennis_ball,wood_block
n4_scene0027,2,5,同物過切,11.8,11.6,0.1,0.67,1,wood_block,wood_block
n4_scene0027,1,3,並排有縫,222.4,222.4,0.0,1.0,0,wood_block,pear
n4_scene0028,1,2,並排有縫,86.0,86.0,0.0,1.0,0,cups,master_chef_can
n4_scene0028,1,5,並排有縫,58.5,49.0,0.0,0.0,0,cups,master_chef_can
n4_scene0028,1,8,並排有縫,90.5,90.5,0.0,0.79,0,cups,master_chef_can
n4_scene0028,2,3,並排有縫,92.5,92.5,0.0,1.0,0,master_chef_can,cups
n4_scene0028,7,9,同物過切,3.1,0.0,0.0,1.0,1,knife,knife
n4_scene0028,2,5,同物過切,22.3,10.9,0.1,0.29,1,master_chef_can,master_chef_can
n4_scene0028,1,3,同物過切,16.4,16.4,0.0,1.0,1,cups,cups
n4_scene0028,3,5,並排有縫,119.5,119.5,0.0,0.0,0,cups,master_chef_can
n4_scene0029,5,8,同物過切,6.4,1.2,0.0,0.0,1,bleach_cleanser,bleach_cleanser
n4_scene0029,6,9,並排有縫,256.0,242.2,0.0,1.0,0,bleach_cleanser,fork
n4_scene0029,1,4,並排有縫,99.2,99.2,0.0,1.0,0,nine_hole_peg_test,bleach_cleanser
n4_scene0029,4,5,同物過切,45.4,45.4,0.1,0.0,0,bleach_cleanser,bleach_cleanser
n4_scene0029,2,6,並排有縫,123.3,123.3,0.0,1.0,0,baseball,bleach_cleanser
n4_scene0029,1,6,並排有縫,99.3,95.0,0.0,1.0,0,nine_hole_peg_test,bleach_cleanser
n4_scene0029,1,3,同物過切,19.3,18.2,0.1,1.0,1,nine_hole_peg_test,nine_hole_peg_test
n4_scene0029,4,7,同物過切,14.3,13.0,0.1,0.0,1,bleach_cleanser,bleach_cleanser
n4_scene0030,2,4,同物過切,9.0,9.0,0.1,1.0,1,mini_soccer_ball,mini_soccer_ball
n4_scene0030,3,4,並排有縫,71.0,48.9,0.0,0.94,0,cups,mini_soccer_ball
n4_scene0030,1,4,同物過切,9.5,9.0,0.0,1.0,1,mini_soccer_ball,mini_soccer_ball
n4_scene0030,2,3,並排有縫,53.9,53.8,0.1,0.09,0,mini_soccer_ball,cups
n4_scene0030,1,3,並排有縫,53.9,53.8,0.1,0.75,0,mini_soccer_ball,cups
n4_scene0031,3,4,並排有縫,84.2,83.7,0.1,1.0,0,phillips_screwdriver,cups
n4_scene0033,3,8,並排有縫,196.3,173.7,0.0,1.0,0,softball,bleach_cleanser
n4_scene0033,1,2,同物過切,10.1,8.9,0.1,1.0,1,tuna_fish_can,tuna_fish_can
n4_scene0033,3,7,並排有縫,205.2,205.2,0.0,0.0,0,softball,bleach_cleanser
n4_scene0033,5,7,同物過切,15.4,5.0,0.0,0.2,1,bleach_cleanser,bleach_cleanser
n4_scene0033,7,9,同物過切,4.8,4.5,0.1,0.0,0,bleach_cleanser,bleach_cleanser
n4_scene0033,6,9,同物過切,8.9,8.3,0.1,0.2,1,bleach_cleanser,bleach_cleanser
n4_scene0033,3,5,並排有縫,224.2,224.2,0.0,0.0,0,softball,bleach_cleanser
n4_scene0034,4,6,同物過切,0.6,0.6,0.0,0.88,1,cups,cups
n4_scene0035,3,10,同物過切,14.2,2.6,0.1,0.57,1,master_chef_can,master_chef_can
n4_scene0035,1,4,同物過切,0.1,0.1,0.0,0.56,1,cups,cups
n4_scene0035,3,6,同物過切,4.1,4.1,0.0,1.0,1,master_chef_can,master_chef_can
n4_scene0035,2,5,同物過切,5.4,5.4,0.1,1.0,1,cups,cups
n4_scene0035,7,8,同物過切,1.7,0.3,0.0,0.67,1,knife,knife
n4_scene0036,3,4,並排有縫,234.6,216.0,0.0,1.0,0,pitcher_base,spoon
n4_scene0037,1,8,同物過切,3.9,2.1,0.0,1.0,1,scissors,scissors
n4_scene0037,2,8,同物過切,10.1,4.6,0.0,1.0,1,scissors,scissors
n4_scene0039,3,4,並排有縫,78.9,56.6,0.0,1.0,0,cups,wood_block
n4_scene0040,4,6,同物過切,5.8,5.8,0.0,1.0,0,power_drill,power_drill
n4_scene0040,6,11,同物過切,7.4,7.4,0.0,1.0,1,power_drill,power_drill
n4_scene0040,2,4,同物過切,59.4,59.4,0.0,1.0,0,power_drill,power_drill
n4_scene0040,1,11,並排有縫,124.0,120.5,0.1,1.0,0,cups,power_drill
n4_scene0040,6,10,同物過切,32.3,32.3,0.0,1.0,1,power_drill,power_drill
n4_scene0040,4,10,同物過切,39.6,39.6,0.0,1.0,1,power_drill,power_drill
n4_scene0040,2,6,同物過切,5.8,5.8,0.0,1.0,0,power_drill,power_drill
n4_scene0040,1,10,並排有縫,131.1,127.2,0.0,1.0,0,cups,power_drill
n4_scene0041,4,8,同物過切,11.4,11.4,0.1,0.2,1,tomato_soup_can,tomato_soup_can
n4_scene0043,5,8,同物過切,5.7,5.7,0.1,0.33,1,potted_meat_can,potted_meat_can
n4_scene0043,2,3,同物過切,9.7,9.0,0.0,1.0,1,orange,orange
n4_scene0043,6,7,同物過切,10.9,3.1,0.0,0.29,1,sugar_box,sugar_box
n4_scene0043,4,8,同物過切,6.0,4.9,0.1,0.33,1,potted_meat_can,potted_meat_can
n4_scene0043,3,5,並排有縫,158.2,158.2,0.0,0.93,0,orange,potted_meat_can
